thread_id	disposition	evidence_commit	evidence_pr	merged_at	github_resolved_at	post_resolution_verified_at	closure_note
PRRT_kwDOR3YK5M6D9-pq	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	1877	2026-08-26T21:31:54Z	2026-08-26T21:33:25Z	2026-08-26T21:34:09Z	build-install-reconfigure-lock
PRRT_kwDOR3YK5M6D9-pu	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	1877	2026-08-26T21:31:54Z	2026-08-26T21:33:26Z	2026-08-26T21:34:09Z	build-pair-install-target-retirement
PRRT_kwDOR3YK5M6D-RLW	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	1877	2026-08-26T21:31:54Z	2026-08-26T21:33:27Z	2026-08-26T21:34:09Z	build-install-reconfigure-status
PRRT_kwDOR3YK5M6D-SVg	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	1877	2026-08-26T21:31:54Z	2026-08-26T21:33:28Z	2026-08-26T21:34:09Z	build-install-dat-pickle-retirement
PRRT_kwDOR3YK5M6D-Wag	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	1877	2026-08-26T21:31:54Z	2026-08-26T21:33:28Z	2026-08-26T21:34:09Z	build-install-dat-prefix-probe-retirement
PRRT_kwDOR3YK5M6EF0s8	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	1877	2026-08-26T21:31:54Z	2026-08-26T21:33:29Z	2026-08-26T21:34:09Z	terakan-umul24-public-reference
PRRT_kwDOR3YK5M6ELsI1	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	1877	2026-08-26T21:31:54Z	2026-08-26T21:33:30Z	2026-08-26T21:34:09Z	build-distcc-pump-policy-retirement
PRRT_kwDOR3YK5M6ELsJY	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	1877	2026-08-26T21:31:54Z	2026-08-26T21:33:31Z	2026-08-26T21:34:09Z	build-distcc-pump-readme-retirement
PRRT_kwDOR3YK5M6ENfNy	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	1877	2026-08-26T21:31:54Z	2026-08-26T21:33:32Z	2026-08-26T21:34:09Z	build-rust-toolchain-image-pin
PRRT_kwDOR3YK5M6EPmB-	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	1877	2026-08-26T21:31:54Z	2026-08-26T21:33:33Z	2026-08-26T21:34:09Z	sfn-local-constraint-rollback-signal
PRRT_kwDOR3YK5M6EPmCQ	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	1877	2026-08-26T21:31:54Z	2026-08-26T21:33:34Z	2026-08-26T21:34:09Z	sfn-local-group-constraint-diagnostic
PRRT_kwDOR3YK5M6EPn7b	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	1877	2026-08-26T21:31:54Z	2026-08-26T21:33:35Z	2026-08-26T21:34:09Z	sfn-local-constraint-rollback-signal
PRRT_kwDOR3YK5M6EPn7c	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	1877	2026-08-26T21:31:54Z	2026-08-26T21:33:36Z	2026-08-26T21:34:09Z	sfn-local-group-constraint-scope
PRRT_kwDOR3YK5M6EPn7d	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	1877	2026-08-26T21:31:54Z	2026-08-26T21:33:37Z	2026-08-26T21:34:09Z	sfn-local-constraint-attempt-scope
PRRT_kwDOR3YK5M6EPn7f	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	1877	2026-08-26T21:31:54Z	2026-08-26T21:33:38Z	2026-08-26T21:34:09Z	sfn-local-constraint-lds-guard
PRRT_kwDOR3YK5M6Fjynl	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	1877	2026-08-26T21:31:54Z	2026-08-26T21:33:39Z	2026-08-26T21:34:09Z	build-size-profile-contract-retirement
