frontier_id	priority	domain	mechanism	current_evidence	completion_state	discriminating_question	required_observation	execution_class	authority_owner	canonical_data_target	required_generator	probe_declaration	bounded_output_schema	maximum_rows_and_bytes	retention_class	tools	ordering_dependencies	completion_gate	falsification_condition	batch_id	batch_rank	thread_id	pr_number	thread_created_at	is_outdated	review_path	original_line	review_author	review_url	disposition	merged_evidence_commit	resolution_state
build-install-reconfigure-lock-D9-pq	unbadged	build-infra	build-install-reconfigure-lock	Makefile holds layout validation, source identity, Meson reconfiguration, and installation inside one flock transaction	fixed-on-main	Does merged main still exhibit build-install-reconfigure-lock?	Inspect the install recipe and require every build-directory mutation to occur while BUILD_LOCK is held	offline-source-history	mesa-26-gororoba	build-infra/Makefile	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch denominator proof	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Meson reconfiguration or installation can mutate the build directory outside BUILD_LOCK	merged-review-thread-closure-batch-0003	1	PRRT_kwDOR3YK5M6D9-pq	167	2026-05-22T00:28:15Z	false	build-infra/Makefile	407	copilot-pull-request-reviewer	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/167#discussion_r3285098083	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	unresolved
build-pair-install-target-retirement-D9-pu	unbadged	build-infra	build-pair-install-target-retirement	Canonical profile consolidation removed install-terakan-distcc-no-rusticl-ccache-no-pump-pair and its PHONY obligation	superseded-on-main	Does merged main still exhibit build-pair-install-target-retirement?	Confirm the reviewed target is absent and current profiles expose independently named build and install paths	offline-source-history	mesa-26-gororoba	build-infra/Makefile	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 1 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The retired pair target returns without PHONY coverage or a replacement repeats the name collision	merged-review-thread-closure-batch-0003	2	PRRT_kwDOR3YK5M6D9-pu	167	2026-05-22T00:28:15Z	false	build-infra/Makefile	510	copilot-pull-request-reviewer	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/167#discussion_r3285098087	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	unresolved
build-install-reconfigure-status-D-RLW	unbadged	build-infra	build-install-reconfigure-status	The install recipe uses set -euo pipefail and an explicit Meson setup failure branch before identity publication or installation	fixed-on-main	Does merged main still exhibit build-install-reconfigure-status?	Trace Meson setup failure to an immediate nonzero exit before meson install	offline-source-history	mesa-26-gororoba	build-infra/Makefile	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 2 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A failed Meson reconfiguration can continue into meson install	merged-review-thread-closure-batch-0003	3	PRRT_kwDOR3YK5M6D-RLW	168	2026-05-22T01:04:44Z	false	build-infra/Makefile	412	copilot-pull-request-reviewer	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/168#discussion_r3285202934	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	unresolved
build-install-dat-pickle-retirement-D-SVg	P1	build-infra	build-install-dat-pickle-retirement	The install recipe no longer deserializes meson-private/install.dat and instead validates repository-owned source identity around reconfiguration	superseded-on-main	Does merged main still exhibit build-install-dat-pickle-retirement?	Scan the install path for pickle or install.dat reads and require repository-owned identity validation	offline-source-history	mesa-26-gororoba	build-infra/Makefile	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 3 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The install path again unpickles mutable build-directory metadata	merged-review-thread-closure-batch-0003	4	PRRT_kwDOR3YK5M6D-SVg	168	2026-05-22T01:06:37Z	false	build-infra/Makefile	405	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/168#discussion_r3285209711	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	unresolved
build-install-dat-prefix-probe-retirement-D-Wag	unbadged	build-infra	build-install-dat-prefix-probe-retirement	The install.dat prefix probe was removed; Meson receives the validated prefix directly and source identity gates installation	superseded-on-main	Does merged main still exhibit build-install-dat-prefix-probe-retirement?	Confirm no unreadable install.dat path is collapsed into a false prefix mismatch diagnostic	offline-source-history	mesa-26-gororoba	build-infra/Makefile	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 4 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A build metadata read failure is again reported as a prefix mismatch and installation can continue	merged-review-thread-closure-batch-0003	5	PRRT_kwDOR3YK5M6D-Wag	168	2026-05-22T01:14:37Z	false	build-infra/Makefile	414	sourcery-ai	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/168#discussion_r3285233164	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	unresolved
terakan-umul24-public-reference-EF0s8	unbadged	terakan-nir	terakan-umul24-public-reference	The source header cites the AMD Evergreen ISA by document and instruction names without internal or nonexistent repository paths	fixed-on-main	Does merged main still exhibit terakan-umul24-public-reference?	Inspect every reference in the file header and require a public authority or tracked in-tree target	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/nir/terakan_nir_lower_24bit_mul_hint.c	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 5 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The header again cites an absent internal path or unresolvable authority	merged-review-thread-closure-batch-0003	6	PRRT_kwDOR3YK5M6EF0s8	189	2026-05-22T11:18:55Z	false	src/amd/terascale/vulkan/nir/terakan_nir_lower_24bit_mul_hint.c	22	copilot-pull-request-reviewer	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/189#discussion_r3287965200	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	unresolved
build-distcc-pump-policy-retirement-ELsI1	unbadged	build-infra	build-distcc-pump-policy-retirement	The pump lane is explicitly historical because upstream distcc-pump support was removed; the active WSL worker belongs to the no-pump lane	superseded-on-main	Does merged main still exhibit build-distcc-pump-policy-retirement?	Confirm active build instructions do not rely on the retired DESKTOP hostname gate	offline-source-history	mesa-26-gororoba	build-infra/x130e-distcc-pump.md	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 6 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	An active pump lane returns with prose broader than its hostname selector	merged-review-thread-closure-batch-0003	7	PRRT_kwDOR3YK5M6ELsI1	191	2026-05-22T17:09:27Z	false	build-infra/x130e-distcc-pump.md	91	copilot-pull-request-reviewer	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/191#discussion_r3290067558	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	unresolved
build-distcc-pump-readme-retirement-ELsJY	unbadged	build-infra	build-distcc-pump-readme-retirement	README states that distcc-pump profiles and Make targets were removed and routes remaining notes to historical provenance	superseded-on-main	Does merged main still exhibit build-distcc-pump-readme-retirement?	Confirm README exposes no active DESKTOP or WSL pump participation contract	offline-source-history	mesa-26-gororoba	build-infra/README.md	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 7 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	README again advertises an active pump contract that disagrees with its selector	merged-review-thread-closure-batch-0003	8	PRRT_kwDOR3YK5M6ELsJY	191	2026-05-22T17:09:28Z	false	build-infra/README.md	142	copilot-pull-request-reviewer	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/191#discussion_r3290067606	superseded	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	unresolved
build-rust-toolchain-image-pin-ENfNy	unbadged	build-infra	build-rust-toolchain-image-pin	rust-toolchain.toml and .gitlab-ci/container/build-rust.sh both select Rust 1.96.0	fixed-on-main	Does merged main still exhibit build-rust-toolchain-image-pin?	Parse both canonical pins and require exact version equality	offline-source-history	mesa-26-gororoba	rust-toolchain.toml;.gitlab-ci/container/build-rust.sh	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 8 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The workspace pin differs from the CI image toolchain and forces an ambient download	merged-review-thread-closure-batch-0003	9	PRRT_kwDOR3YK5M6ENfNy	195	2026-05-22T19:09:28Z	false	rust-toolchain.toml	2	copilot-pull-request-reviewer	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/195#discussion_r3290731631	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	unresolved
sfn-local-constraint-rollback-signal-EPmB-	unbadged	r600-sfn	sfn-local-constraint-rollback-signal	kcache_rollback restores only KCACHE state and deliberately preserves local_group_constraint_failed until schedule_alu consumes it	fixed-on-main	Does merged main still exhibit sfn-local-constraint-rollback-signal?	Trace every speculative rollback after vector rejection and require the split signal to survive	offline-source-history	mesa-26-gororoba	src/gallium/drivers/r600/sfn/sfn_instr.h;src/gallium/drivers/r600/sfn/sfn_scheduler.cpp	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 9 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A caller rollback erases a local group rejection before clause splitting	merged-review-thread-closure-batch-0003	10	PRRT_kwDOR3YK5M6EPmB-	196	2026-05-22T22:32:16Z	false	src/gallium/drivers/r600/sfn/sfn_instr.h	246	copilot-pull-request-reviewer	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/196#discussion_r3291478264	fixed	0c8b733b08e32df22cdcc4e19bf4cde411f63f5e	unresolved
