frontier_id	priority	domain	mechanism	current_evidence	completion_state	discriminating_question	required_observation	execution_class	authority_owner	canonical_data_target	required_generator	probe_declaration	bounded_output_schema	maximum_rows_and_bytes	retention_class	tools	ordering_dependencies	completion_gate	falsification_condition	batch_id	batch_rank	thread_id	pr_number	thread_created_at	is_outdated	review_path	original_line	review_author	review_url	disposition	merged_evidence_commit	resolution_state
drm-shim-state-token-exec-locator	P2	drm-shim	state-token-exec-locator-acceptance	Current main parses inherited state-token headers and rebuilds the identity anchor in drm_shim_inherited_identity_locator; repair landed in aea1cb3414acf2c1448bbba454226c84991926ed	closed	Does merged main still exhibit state-token-exec-locator-acceptance?	Run the inherited non-CLOEXEC render-fd exec case and require identity initialization through the validated state token	offline-build-test	mesa-26-gororoba	src/drm-shim/device.c#L821-L931	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch denominator proof	Re-query unresolved; resolve this exact thread ID from merged evidence; re-query resolved; record the ledger row	A valid inherited state-token locator still makes drm_shim_identity_init abort with EBADF	merged-review-thread-closure-batch-0006	1	PRRT_kwDOR3YK5M6WhUFW	1232	2026-08-05T02:01:43Z	false	src/drm-shim/device.c	2030	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1232#discussion_r3717420728	fixed	ba9456059bb308b499b8940148d78b806adf67fc	resolved
drm-shim-residue-multiset-calibration	P2	drm-shim-test	residue-signature-multiset-comparison	Current main sorts lists and removes each expected occurrence separately at residue_check.py:70-100, preserving duplicate normalized failures; repair landed in 9fc3be4f32f016a49dc112210e484ae7bd2adffa	closed	Does merged main still exhibit residue-signature-multiset-comparison?	Run the residue checker self-test with two failures that normalize identically and require removal of either occurrence to fail	offline-build-test	mesa-26-gororoba	src/amd/drm-shim/tests/radeon_noop_drm_shim_residue_check.py#L70-L100;src/amd/drm-shim/tests/radeon_noop_drm_shim_residue_check_selftest.py	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 1 remains stable	Re-query unresolved; resolve this exact thread ID from merged evidence; re-query resolved; record the ledger row	One of two equal normalized failures can disappear while the exact-signature checker passes	merged-review-thread-closure-batch-0006	2	PRRT_kwDOR3YK5M6WqAMl	1245	2026-08-05T12:58:58Z	false	src/amd/drm-shim/tests/radeon_noop_drm_shim_residue_check.py	49	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1245#discussion_r3720736638	fixed	ba9456059bb308b499b8940148d78b806adf67fc	resolved
new-file-spdx-only-policy	P2	governance	new-file-spdx-only-header-policy	Current AGENTS.md:102-105 requires SPDX-only new files and rejects template or project-collective holders, superseding the reviewed copyright-line requirement; policy owner is 5f3d4601460d80140c3e6de31fee224d4c69cab7	closed	Does merged main still exhibit new-file-spdx-only-header-policy?	Inspect the current new-file header rule and the script's SPDX-only header	offline-source-history	mesa-26-gororoba	AGENTS.md#L102-L105;src/amd/drm-shim/tests/radeon_noop_drm_shim_residue_check.py#L1-L1	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 2 remains stable	Re-query unresolved; resolve this exact thread ID as superseded; re-query resolved; record the ledger row	Policy again requires an invented or unidentified copyright holder on every new source file	merged-review-thread-closure-batch-0006	3	PRRT_kwDOR3YK5M6WqAMt	1245	2026-08-05T12:58:58Z	false	src/amd/drm-shim/tests/radeon_noop_drm_shim_residue_check.py	1	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1245#discussion_r3720736647	superseded	ba9456059bb308b499b8940148d78b806adf67fc	resolved
qualification-ignored-subproject-source-gate	P1	build-infra	ignored-subproject-source-cleanliness	PR 1957 merged ignored-subproject scanning for both detached worktrees, an archive-derived source view, and calibrated negative fixtures that reject populated ignored subprojects	closed	Does merged main still exhibit ignored-subproject-source-cleanliness?	Populate an ignored subprojects dependency in an isolated fixture, require source-root selection to reject it, and complete a release qualification from the archive-derived source view	offline-build-test	mesa-26-gororoba	AGENTS.md#L806-L806;build-infra/scripts/source_root_control.py#L657-L718;build-infra/tests/test_source_root_control.py#L1057-L1071	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 3 remains stable	Require ignored-subproject scanning or immutable archive input for every declared-SHA result and pass clean plus ignored-source negative fixtures	Modified ignored dependency bytes still enter a build whose declared-SHA cleanliness gate passes	merged-review-thread-closure-batch-0006	4	PRRT_kwDOR3YK5M6XJkcU	1260	2026-08-07T01:27:24Z	false	AGENTS.md	997	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1260#discussion_r3732826709	fixed	292c0318de096554d204725077710d177a3196f2	resolved
qualification-run-source-isolation	P1	build-infra	baseline-merge-qualification-source-isolation	PR 1957 merged REPRODUCIBLE_RUN enforcement for qualification, conformance-baseline, and merge-gating results through distinct detached worktrees and a commit-pinned archive-derived source view	closed	Does merged main still exhibit baseline-merge-qualification-source-isolation?	Run the release qualification from distinct clean control and source worktrees, then verify build, test, install, and artifact identity against the same source-view digest	offline-build-test	mesa-26-gororoba	AGENTS.md#L806-L806;build-infra/README.md#L266-L282;build-infra/Makefile#L3794-L3803	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 4 remains stable	Bind qualification, conformance-baseline, and merge-gating results to isolated immutable source bytes and calibrate the time-of-check/time-of-use failure	A conformance-baseline or merge-gating run compiles peer-modified bytes after preflight while retaining the declared SHA	merged-review-thread-closure-batch-0006	5	PRRT_kwDOR3YK5M6XJkcb	1260	2026-08-07T01:27:24Z	false	AGENTS.md	997	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1260#discussion_r3732826716	fixed	292c0318de096554d204725077710d177a3196f2	resolved
drm-shim-write-only-locator-readable-witness	P2	drm-shim	write-only-state-token-readable-witness	drm_shim_state_token_name_parse obtains drm_shim_readable_witness before pread on current main; merge commit is 7cc2fad09eac2f38dd1cbec2a26f32c7a1366f1b	closed	Does merged main still exhibit write-only-state-token-readable-witness?	Carry only an O_WRONLY render descriptor across exec and require state-token identity recovery through a readable witness	offline-build-test	mesa-26-gororoba	src/drm-shim/device.c#L295-L306;src/drm-shim/device.c#L542-L564;src/drm-shim/device.c#L821-L931	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 5 remains stable	Re-query unresolved; resolve this exact thread ID from merged evidence; re-query resolved; record the ledger row	A supported write-only render descriptor remains the chosen locator and its state-token read fails with EBADF	merged-review-thread-closure-batch-0006	6	PRRT_kwDOR3YK5M6XRpjE	1264	2026-08-07T13:00:12Z	false	src/drm-shim/device.c	807	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1264#discussion_r3735908159	fixed	ba9456059bb308b499b8940148d78b806adf67fc	resolved
drm-shim-foreign-selected-device-locator	P2	drm-shim	foreign-selected-device-locator-classification	PR 1963 source commit 0b426c293ff1703e8fd887d18c69df959451f2c7, merged as e7c80fe34c480cd632acb6b0ea8e3477a92dad43, validates the complete state-token header and memfd name before classifying the selected-device marker; valid other-device tokens yield ENOENT while malformed tokens retain EBADF	closed	Does merged main still exhibit foreign-selected-device-locator-classification?	Run the changed-device and malformed-token exec tests; require a 0x5974 to 0x7140 child to create its selected identity and leave the inherited fd unclaimed, while malformed locator data still produces SIGABRT	offline-build-test	mesa-26-gororoba	src/drm-shim/device.c#L480-L543;src/drm-shim/device.c#L835-L958;src/amd/drm-shim/radeon_noop_drm_shim_preload_test.c#L630-L735;src/amd/drm-shim/meson.build#L229-L246	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 6 remains stable	Require the changed-device positive and malformed-token negative tests to pass with the three-way token classification and its EBADF or ENOENT callers intact	Changing RADEON_GPU_ID across exec aborts identity initialization, claims the inherited fd, or malformed token input ceases to abort through EBADF	merged-review-thread-closure-batch-0006	7	PRRT_kwDOR3YK5M6XRpjF	1264	2026-08-07T13:00:12Z	false	src/drm-shim/device.c	810	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1264#discussion_r3735908164	fixed	e7c80fe34c480cd632acb6b0ea8e3477a92dad43	resolved
drm-shim-exec-locator-comment-provenance	P1	drm-shim	exec-locator-symbol-discovery-provenance	PR 1963 source commit 0b426c293ff1703e8fd887d18c69df959451f2c7, merged as e7c80fe34c480cd632acb6b0ea8e3477a92dad43, gives both load-bearing exec-locator comments repository-root fixed-string traces for the preparation, render-open, state-token-header, anchor-creation, and identity-parse symbols	closed	Does merged main still exhibit exec-locator-symbol-discovery-provenance?	Execute both recorded rg --fixed-strings traces from the repository root and require every named symbol to resolve inside src/drm-shim	offline-source-history	mesa-26-gororoba	src/drm-shim/device.c#L910-L958	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 7 remains stable	Run both recorded fixed-string traces and pass the repository comment and naming-policy checks	Either load-bearing exec-locator comment lacks a repository-root symbol-discovery command or names a symbol that the command cannot locate	merged-review-thread-closure-batch-0006	8	PRRT_kwDOR3YK5M6XRpjI	1264	2026-08-07T13:00:12Z	false	src/drm-shim/device.c	804	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1264#discussion_r3735908166	fixed	e7c80fe34c480cd632acb6b0ea8e3477a92dad43	resolved
r300-free-comp-positive-invariant-comment	P1	r300-compiler	free-comp-positive-invariant-prose	Current radeon_code.c:130-134 states the paired assignment and conservative initialization mechanism positively; commit is 32a832ed0fac9554e6cc2cad23cf3e0fd14b9a0b	closed	Does merged main still exhibit free-comp-positive-invariant-prose?	Inspect the free_index and free_comp assignments and the current self-contained positive mechanism comment	offline-source-history	mesa-26-gororoba	src/amd/r300/compiler/radeon_code.c#L130-L168	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 8 remains stable	Re-query unresolved; resolve this exact thread ID from merged evidence; re-query resolved; record the ledger row	The comment again grounds the invariant in absence, chronology, or an unexplained proof boundary	merged-review-thread-closure-batch-0006	9	PRRT_kwDOR3YK5M6XbEit	1270	2026-08-08T00:32:57Z	true	src/gallium/drivers/r300/compiler/radeon_code.c	131	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1270#discussion_r3739522296	fixed	ba9456059bb308b499b8940148d78b806adf67fc	resolved
r3v-submit-semaphore-dependency-order	P1	r3v-native	submit-waits-before-deferred-host-work	Current queue submit waits with vk_sync_wait at r3v_native_queue.c:1214-1231 before deferred execution and consumes permanent binary waits afterward; repair family landed in 84ec5f477971a23e06e9b4c546055c7ee4683827	closed	Does merged main still exhibit submit-waits-before-deferred-host-work?	Run the public-surface submit harness with unsignaled and signaled binary and timeline dependencies and require no deferred read or write before completion	offline-build-test	mesa-26-gororoba	src/amd/r300/vulkan/r3v_native_queue.c#L783-L832;src/amd/r300/vulkan/r3v_native_queue.c#L1214-L1231;src/amd/r300/vulkan/tests/r3v_native_public_surface_harness.c#L130-L175	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 9 remains stable	Re-query unresolved; resolve this exact thread ID from merged evidence; re-query resolved; record the ledger row	Deferred vertex reads or attachment writes occur before a declared semaphore wait completes	merged-review-thread-closure-batch-0006	10	PRRT_kwDOR3YK5M6XgW3D	1275	2026-08-08T19:56:08Z	true	src/amd/r300/vulkan/r3v_native_queue.c	395	Oichkatzelesfrettschen;chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1275#discussion_r3741488824	fixed	ba9456059bb308b499b8940148d78b806adf67fc	resolved
