thread_id	disposition	evidence_commit	evidence_pr	merged_at	github_resolved_at	post_resolution_verified_at	closure_note
PRRT_kwDOR3YK5M6WhUFW	fixed	ba9456059bb308b499b8940148d78b806adf67fc	1942	2026-08-27T20:46:29Z	2026-08-27T21:00:12Z	2026-08-27T21:00:12Z	state-token-exec-locator-acceptance
PRRT_kwDOR3YK5M6WqAMl	fixed	ba9456059bb308b499b8940148d78b806adf67fc	1942	2026-08-27T20:46:29Z	2026-08-27T21:00:15Z	2026-08-27T21:00:15Z	residue-signature-multiset-comparison
PRRT_kwDOR3YK5M6WqAMt	superseded	ba9456059bb308b499b8940148d78b806adf67fc	1942	2026-08-27T20:46:29Z	2026-08-27T21:00:18Z	2026-08-27T21:00:18Z	new-file-spdx-only-header-policy
PRRT_kwDOR3YK5M6XJkcU	fixed	292c0318de096554d204725077710d177a3196f2	1957	2026-08-28T02:12:34Z	2026-08-28T02:23:01Z	2026-08-28T02:23:01Z	ignored-subproject-source-cleanliness
PRRT_kwDOR3YK5M6XJkcb	fixed	292c0318de096554d204725077710d177a3196f2	1957	2026-08-28T02:12:34Z	2026-08-28T02:23:02Z	2026-08-28T02:23:02Z	baseline-merge-qualification-source-isolation
PRRT_kwDOR3YK5M6XRpjE	fixed	ba9456059bb308b499b8940148d78b806adf67fc	1942	2026-08-27T20:46:29Z	2026-08-27T21:00:21Z	2026-08-27T21:00:22Z	write-only-state-token-readable-witness
PRRT_kwDOR3YK5M6XbEit	fixed	ba9456059bb308b499b8940148d78b806adf67fc	1942	2026-08-27T20:46:29Z	2026-08-27T21:00:24Z	2026-08-27T21:00:25Z	free-comp-positive-invariant-prose
PRRT_kwDOR3YK5M6XgW3D	fixed	ba9456059bb308b499b8940148d78b806adf67fc	1942	2026-08-27T20:46:29Z	2026-08-27T21:00:27Z	2026-08-27T21:00:28Z	submit-waits-before-deferred-host-work
PRRT_kwDOR3YK5M6XgW3G	fixed	ba9456059bb308b499b8940148d78b806adf67fc	1942	2026-08-27T20:46:29Z	2026-08-27T21:00:30Z	2026-08-27T21:00:30Z	b8g8r8a8-transfer-source-feature
PRRT_kwDOR3YK5M6XgcYX	fixed	ba9456059bb308b499b8940148d78b806adf67fc	1942	2026-08-27T20:46:29Z	2026-08-27T21:00:33Z	2026-08-27T21:00:33Z	fallible-submit-preparation-before-target-mutation
PRRT_kwDOR3YK5M6Xglay	fixed	ba9456059bb308b499b8940148d78b806adf67fc	1942	2026-08-27T20:46:29Z	2026-08-27T21:00:35Z	2026-08-27T21:00:35Z	recorded-draw-command-pool-allocator
PRRT_kwDOR3YK5M6X27Yi	superseded	ba9456059bb308b499b8940148d78b806adf67fc	1942	2026-08-27T20:46:29Z	2026-08-27T21:00:38Z	2026-08-27T21:00:38Z	new-test-spdx-only-header-policy
PRRT_kwDOR3YK5M6YiMuz	superseded	ba9456059bb308b499b8940148d78b806adf67fc	1942	2026-08-27T20:46:29Z	2026-08-27T21:00:40Z	2026-08-27T21:00:40Z	legacy hybrid-compute compatibility retirement
PRRT_kwDOR3YK5M6ZIGc4	fixed	ba9456059bb308b499b8940148d78b806adf67fc	1942	2026-08-27T20:46:29Z	2026-08-27T21:00:42Z	2026-08-27T21:00:43Z	GPU-producer WINDOW carrier reachability
PRRT_kwDOR3YK5M6ZIGdC	superseded	ba9456059bb308b499b8940148d78b806adf67fc	1942	2026-08-27T20:46:29Z	2026-08-27T21:00:44Z	2026-08-27T21:00:45Z	explicit per-route position-space ownership
PRRT_kwDOR3YK5M6ZIX17	superseded	ba9456059bb308b499b8940148d78b806adf67fc	1942	2026-08-27T20:46:29Z	2026-08-27T21:00:47Z	2026-08-27T21:00:47Z	generated header SPDX attribution policy
PRRT_kwDOR3YK5M6ZIj8A	fixed	ba9456059bb308b499b8940148d78b806adf67fc	1942	2026-08-27T20:46:29Z	2026-08-27T21:00:49Z	2026-08-27T21:00:50Z	producer cell arming identity
