frontier_id	priority	domain	mechanism	current_evidence	completion_state	discriminating_question	required_observation	execution_class	authority_owner	canonical_data_target	required_generator	probe_declaration	bounded_output_schema	maximum_rows_and_bytes	retention_class	tools	ordering_dependencies	completion_gate	falsification_condition	batch_id	batch_rank	thread_id	pr_number	thread_created_at	is_outdated	review_path	original_line	review_author	review_url	disposition	merged_evidence_commit	resolution_state
vl-h264-cso-unbind-ownership	unbadged	vl	vl-h264-cso-unbind-ownership	The teardown names cso_unbind_context as the shader and sampler unbind owner before cso_destroy_context releases the wrapper	closed	Does merged main still exhibit vl-h264-cso-unbind-ownership?	Trace H.264 test teardown from explicit CSO unbinding through wrapper destruction	offline-source-history	mesa-26-gororoba	src/gallium/auxiliary/vl/tests/vl_h264_idct_test.c	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch denominator proof	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The teardown attributes shader or sampler unbinding to cso_destroy_context or destroys the wrapper before explicit unbinding	merged-review-thread-closure-batch-0004	1	PRRT_kwDOR3YK5M6QZNKs	1111	2026-07-13T12:51:19Z	false	src/gallium/auxiliary/vl/tests/vl_h264_idct_test.c	402	copilot-pull-request-reviewer	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1111#discussion_r3570756896	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	resolved
distcc-volunteer-token-filter	unbadged	build-infra	distcc-volunteer-token-filter	The volunteer scan skips option and discovery tokens and excludes normalized localhost entries before counting remote compilers	closed	Does merged main still exhibit distcc-volunteer-token-filter?	Inspect distcc host enumeration and require only real remote volunteer specifications to enter the probe set	offline-source-history	mesa-26-gororoba	build-infra/Makefile#L690-L890	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 1 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A +zeroconf, option, or localhost specification can be counted as a remote volunteer	merged-review-thread-closure-batch-0004	2	PRRT_kwDOR3YK5M6QZnz7	1113	2026-07-13T13:13:43Z	false	build-infra/Makefile	425	copilot-pull-request-reviewer	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1113#discussion_r3570905506	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	resolved
distcc-ssh-host-resolution-normalization	unbadged	build-infra	distcc-ssh-host-resolution-normalization	distcc_host_name removes transport, user, slot, option, and port syntax before getent resolves the host identity	closed	Does merged main still exhibit distcc-ssh-host-resolution-normalization?	Exercise SSH-style user and port specifications through the hostname normalization function	offline-source-history	mesa-26-gororoba	build-infra/Makefile#L690-L890	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 2 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	getent receives an @ prefix, user name, slot count, option suffix, or port as part of the hostname	merged-review-thread-closure-batch-0004	3	PRRT_kwDOR3YK5M6QZn0M	1113	2026-07-13T13:13:44Z	false	build-infra/Makefile	438	copilot-pull-request-reviewer	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1113#discussion_r3570905534	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	resolved
distcc-ssh-host-dispatch-normalization	P1	build-infra	distcc-ssh-host-dispatch-normalization	SSH-mode distcc entries retain their dispatch specification while the resolver consumes a normalized host name	closed	Does merged main still exhibit distcc-ssh-host-dispatch-normalization?	Compare the original distcc dispatch token with the normalized name passed to getent	offline-source-history	mesa-26-gororoba	build-infra/Makefile#L690-L890	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 3 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Normalization corrupts the distcc dispatch specification or leaves the SSH prefix in the resolver input	merged-review-thread-closure-batch-0004	4	PRRT_kwDOR3YK5M6QZrBQ	1113	2026-07-13T13:16:24Z	false	build-infra/Makefile	434	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1113#discussion_r3570923291	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	resolved
distcc-cache-miss-compiler-pair-probe	P2	build-infra	distcc-cache-miss-compiler-pair-probe	Every remote volunteer receives fallback-disabled C and C++ probes using client-resolved tools for ccache and direct compiler names for distcc	closed	Does merged main still exhibit distcc-cache-miss-compiler-pair-probe?	Trace compiler selection and require both language probes on every counted volunteer	offline-source-history	mesa-26-gororoba	build-infra/Makefile#L690-L890	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 4 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A volunteer passes without the C++ compiler used by Mesa or the ccache lane probes a different compiler identity than a real cache miss	merged-review-thread-closure-batch-0004	5	PRRT_kwDOR3YK5M6QZrBU	1113	2026-07-13T13:16:24Z	false	build-infra/Makefile	444	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1113#discussion_r3570923296	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	resolved
draw-nir-dynamic-output-span	P2	draw	draw-nir-dynamic-output-span	The NIR executor derives dynamic store_output rows from io_semantics.num_slots and rejects zero or overflowing spans	closed	Does merged main still exhibit draw-nir-dynamic-output-span?	Inspect the supported-output range calculation and its dynamic two-row and invalid-span oracle cases	offline-source-history	mesa-26-gororoba	src/gallium/auxiliary/draw/draw_vs_nir.c;src/gallium/auxiliary/draw/tests/draw_vs_nir_raw_output_test.c	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 5 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A valid dynamically indexed declared output array installs the reject shader or an invalid dynamic span reaches execution	merged-review-thread-closure-batch-0004	6	PRRT_kwDOR3YK5M6Qacnw	1114	2026-07-13T13:54:39Z	false	src/gallium/auxiliary/draw/draw_vs_nir.c	522	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1114#discussion_r3571201040	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	resolved
package-vulkan-explicit-layer-loader-path	P2	packaging	package-vulkan-explicit-layer-loader-path	The scoped launcher prepends the opt explicit-layer manifest directory through VK_ADD_LAYER_PATH with deduplication	closed	Does merged main still exhibit package-vulkan-explicit-layer-loader-path?	Source the package environment and verify the opt explicit-layer directory precedes existing loader paths once	offline-source-history	mesa-26-gororoba	build-infra/packaging/mesa-gororoba-debug-optimized/mesa-gororoba-debug-optimized-env.sh	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 6 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The packaged overlay manifest exists but the scoped launcher cannot make it discoverable without a system layer package	merged-review-thread-closure-batch-0004	7	PRRT_kwDOR3YK5M6Qaw1N	1115	2026-07-13T14:09:01Z	false	build-infra/packaging/mesa-gororoba-debug-optimized/PKGBUILD	235	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1115#discussion_r3571313083	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	resolved
package-vulkan-implicit-layer-completeness	P2	packaging	package-vulkan-implicit-layer-completeness	The repack gate requires anti-lag and device-select libraries and manifests before replacing the implicit-layer package slot	closed	Does merged main still exhibit package-vulkan-implicit-layer-completeness?	Run the staged-package missing-artifact calibrations for both implicit layers	offline-source-history	mesa-26-gororoba	build-infra/packaging/mesa-gororoba-debug-optimized/PKGBUILD	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 7 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A stale build directory can produce the replacement package while either implicit layer library or manifest is absent	merged-review-thread-closure-batch-0004	8	PRRT_kwDOR3YK5M6Qaw1U	1115	2026-07-13T14:09:01Z	false	build-infra/packaging/mesa-gororoba-debug-optimized/PKGBUILD	235	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1115#discussion_r3571313092	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	resolved
rs482-misdiagnoses-spelling	unbadged	r300-docs	rs482-misdiagnoses-spelling	The Hybrid-TCL design uses the standard unhyphenated spelling misdiagnoses	closed	Does merged main still exhibit rs482-misdiagnoses-spelling?	Search the current design prose for the reviewed misspelling	offline-source-history	mesa-26-gororoba	docs/hardware/rs482-hybrid-vertex-tcl-design.md	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 8 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The reviewed mis-diagnoses spelling returns in durable prose	merged-review-thread-closure-batch-0004	9	PRRT_kwDOR3YK5M6Qf30u	1117	2026-07-13T18:30:59Z	false	docs/hardware/rs482-hybrid-vertex-tcl-design.md	240	copilot-pull-request-reviewer	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1117#discussion_r3573173435	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	resolved
rs482-reconstruction-evidence-identity	unbadged	r300-docs	rs482-reconstruction-evidence-identity	The per-output reconstruction claim names merged source mechanisms and retained evidence identities instead of PR chronology	closed	Does merged main still exhibit rs482-reconstruction-evidence-identity?	Inspect the reconstruction evidence row for mechanism-centered source and retained-artifact references	offline-source-history	mesa-26-gororoba	docs/hardware/rs482-hybrid-vertex-tcl-design.md	review_thread_batch_capture.py plus source-history audit	static source and Git history	one classified frontier row and one verified closure row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 9 remains stable	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A load-bearing reconstruction claim relies on an internal PR number as its durable authority	merged-review-thread-closure-batch-0004	10	PRRT_kwDOR3YK5M6Qf309	1117	2026-07-13T18:31:00Z	false	docs/hardware/rs482-hybrid-vertex-tcl-design.md	245	copilot-pull-request-reviewer	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1117#discussion_r3573173456	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	resolved
