thread_id	frontier_id	priority	domain	mechanism	current_evidence	completion_state	required_observation	execution_class	canonical_data_target	completion_gate	falsification_condition	disposition	merged_evidence_commit
PRRT_kwDOR3YK5M6QZNKs	vl-h264-cso-unbind-ownership	unbadged	vl	vl-h264-cso-unbind-ownership	The teardown names cso_unbind_context as the shader and sampler unbind owner before cso_destroy_context releases the wrapper	closed	Trace H.264 test teardown from explicit CSO unbinding through wrapper destruction	offline-source-history	src/gallium/auxiliary/vl/tests/vl_h264_idct_test.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The teardown attributes shader or sampler unbinding to cso_destroy_context or destroys the wrapper before explicit unbinding	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6QZnz7	distcc-volunteer-token-filter	unbadged	build-infra	distcc-volunteer-token-filter	The volunteer scan skips option and discovery tokens and excludes normalized localhost entries before counting remote compilers	closed	Inspect distcc host enumeration and require only real remote volunteer specifications to enter the probe set	offline-source-history	build-infra/Makefile#L932-L1137	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A +zeroconf, option, or localhost specification can be counted as a remote volunteer	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6QZn0M	distcc-ssh-host-resolution-normalization	unbadged	build-infra	distcc-ssh-host-resolution-normalization	distcc_host_name removes transport, user, slot, option, and port syntax before getent resolves the host identity	closed	Exercise SSH-style user and port specifications through the hostname normalization function	offline-source-history	build-infra/Makefile#L932-L1137	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	getent receives an @ prefix, user name, slot count, option suffix, or port as part of the hostname	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6QZrBQ	distcc-ssh-host-dispatch-normalization	P1	build-infra	distcc-ssh-host-dispatch-normalization	SSH-mode distcc entries retain their dispatch specification while the resolver consumes a normalized host name	closed	Compare the original distcc dispatch token with the normalized name passed to getent	offline-source-history	build-infra/Makefile#L932-L1137	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Normalization corrupts the distcc dispatch specification or leaves the SSH prefix in the resolver input	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6QZrBU	distcc-cache-miss-compiler-pair-probe	P2	build-infra	distcc-cache-miss-compiler-pair-probe	Every remote volunteer receives fallback-disabled C and C++ probes using client-resolved tools for ccache and direct compiler names for distcc	closed	Trace compiler selection and require both language probes on every counted volunteer	offline-source-history	build-infra/Makefile#L932-L1137	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A volunteer passes without the C++ compiler used by Mesa or the ccache lane probes a different compiler identity than a real cache miss	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Qacnw	draw-nir-dynamic-output-span	P2	draw	draw-nir-dynamic-output-span	The NIR executor derives dynamic store_output rows from io_semantics.num_slots and rejects zero or overflowing spans	closed	Inspect the supported-output range calculation and its dynamic two-row and invalid-span oracle cases	offline-source-history	src/gallium/auxiliary/draw/draw_vs_nir.c;src/gallium/auxiliary/draw/tests/draw_vs_nir_raw_output_test.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A valid dynamically indexed declared output array installs the reject shader or an invalid dynamic span reaches execution	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Qaw1N	package-vulkan-explicit-layer-loader-path	P2	packaging	package-vulkan-explicit-layer-loader-path	The scoped launcher prepends the opt explicit-layer manifest directory through VK_ADD_LAYER_PATH with deduplication	closed	Source the package environment and verify the opt explicit-layer directory precedes existing loader paths once	offline-source-history	build-infra/packaging/mesa-gororoba-debug-optimized/mesa-gororoba-debug-optimized-env.sh	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The packaged overlay manifest exists but the scoped launcher cannot make it discoverable without a system layer package	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Qaw1U	package-vulkan-implicit-layer-completeness	P2	packaging	package-vulkan-implicit-layer-completeness	The repack gate requires anti-lag and device-select libraries and manifests before replacing the implicit-layer package slot	closed	Run the staged-package missing-artifact calibrations for both implicit layers	offline-source-history	build-infra/packaging/mesa-gororoba-debug-optimized/PKGBUILD	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A stale build directory can produce the replacement package while either implicit layer library or manifest is absent	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Qf30u	rs482-misdiagnoses-spelling	unbadged	r300-docs	rs482-misdiagnoses-spelling	The Hybrid-TCL design uses the standard unhyphenated spelling misdiagnoses	closed	Search the current design prose for the reviewed misspelling	offline-source-history	docs/hardware/rs482-hybrid-vertex-tcl-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The reviewed mis-diagnoses spelling returns in durable prose	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Qf309	rs482-reconstruction-evidence-identity	unbadged	r300-docs	rs482-reconstruction-evidence-identity	The per-output reconstruction claim names merged source mechanisms and retained evidence identities instead of PR chronology	closed	Inspect the reconstruction evidence row for mechanism-centered source and retained-artifact references	offline-source-history	docs/hardware/rs482-hybrid-vertex-tcl-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A load-bearing reconstruction claim relies on an internal PR number as its durable authority	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
