thread_id	disposition	evidence_commit	evidence_pr	merged_at	github_resolved_at	post_resolution_verified_at	closure_note
PRRT_kwDOR3YK5M6QZNKs	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:21Z	2026-08-27T01:12:05Z	vl-h264-cso-unbind-ownership
PRRT_kwDOR3YK5M6QZnz7	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:22Z	2026-08-27T01:12:05Z	distcc-volunteer-token-filter
PRRT_kwDOR3YK5M6QZn0M	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:23Z	2026-08-27T01:12:05Z	distcc-ssh-host-resolution-normalization
PRRT_kwDOR3YK5M6QZrBQ	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:24Z	2026-08-27T01:12:05Z	distcc-ssh-host-dispatch-normalization
PRRT_kwDOR3YK5M6QZrBU	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:25Z	2026-08-27T01:12:05Z	distcc-cache-miss-compiler-pair-probe
PRRT_kwDOR3YK5M6Qacnw	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:26Z	2026-08-27T01:12:05Z	draw-nir-dynamic-output-span
PRRT_kwDOR3YK5M6Qaw1N	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:27Z	2026-08-27T01:12:05Z	package-vulkan-explicit-layer-loader-path
PRRT_kwDOR3YK5M6Qaw1U	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:29Z	2026-08-27T01:12:05Z	package-vulkan-implicit-layer-completeness
PRRT_kwDOR3YK5M6Qf30u	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:30Z	2026-08-27T01:12:05Z	rs482-misdiagnoses-spelling
PRRT_kwDOR3YK5M6Qf309	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:31Z	2026-08-27T01:12:05Z	rs482-reconstruction-evidence-identity
PRRT_kwDOR3YK5M6Qf31V	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:31Z	2026-08-27T01:12:05Z	rs482-tracker-evidence-identity
PRRT_kwDOR3YK5M6Qf8yR	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:32Z	2026-08-27T01:12:05Z	rs482-mechanism-evidence-provenance
PRRT_kwDOR3YK5M6Qf8yY	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:33Z	2026-08-27T01:12:05Z	rs482-clear-quad-residual-identity-retirement
PRRT_kwDOR3YK5M6Qf8yb	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:34Z	2026-08-27T01:12:05Z	rs482-pvs-port-window-read-boundary
PRRT_kwDOR3YK5M6Qf8yh	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:35Z	2026-08-27T01:12:05Z	rs482-perspective-divide-owner
PRRT_kwDOR3YK5M6Q-J57	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:36Z	2026-08-27T01:12:05Z	r2vb-planner-backend-verdict-schema-retirement
PRRT_kwDOR3YK5M6Q-LLU	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:37Z	2026-08-27T01:12:05Z	r2vb-constant-load-structural-scan
PRRT_kwDOR3YK5M6Q-LLW	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:38Z	2026-08-27T01:12:05Z	r2vb-typed-split-durable-evidence-identity
PRRT_kwDOR3YK5M6Q-fxj	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:38Z	2026-08-27T01:12:05Z	r2vb-f3-r0-durable-evidence-identity
PRRT_kwDOR3YK5M6Q-fxm	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:39Z	2026-08-27T01:12:05Z	r2vb-planned-typed-gate-calibration-retirement
PRRT_kwDOR3YK5M6Q-fxn	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:41Z	2026-08-27T01:12:05Z	r2vb-carry-input-cap-contract-retirement
PRRT_kwDOR3YK5M6RkL2W	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:41Z	2026-08-27T01:12:05Z	r2vb-source-domain-value-kind-separation
PRRT_kwDOR3YK5M6RkL2a	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:42Z	2026-08-27T01:12:05Z	r2vb-boolean-fragment-lowering-floor-retirement
PRRT_kwDOR3YK5M6RkL2b	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:43Z	2026-08-27T01:12:05Z	r2vb-float-conversion-source-proof-retirement
PRRT_kwDOR3YK5M6RkL2f	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:44Z	2026-08-27T01:12:05Z	r2vb-system-value-admission-boundary
PRRT_kwDOR3YK5M6Rk3HA	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:45Z	2026-08-27T01:12:05Z	r2vb-integer-operation-proof-floor-retirement
