thread_id	previous_evidence_commit	evidence_commit	verified_at	refresh_note
PRRT_kwDOR3YK5M6Q-LLW	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	05023afc27fcc9fb0637ecacfa425d9fc4263a81	2026-08-27T09:31:41Z	Current design names the typed-split host oracle, classifier commit, and retained silicon finding without PR-number authority
PRRT_kwDOR3YK5M6Qacnw	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	05023afc27fcc9fb0637ecacfa425d9fc4263a81	2026-08-27T09:31:41Z	Current Draw source retains num_slots admission, zero and overflow refusal, and executable two-row oracles
PRRT_kwDOR3YK5M6Qf309	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	05023afc27fcc9fb0637ecacfa425d9fc4263a81	2026-08-27T09:31:41Z	Current design retains mechanism commits and the r2vb-output-reingest-fix-rs482 evidence bundle
PRRT_kwDOR3YK5M6Qf30u	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	05023afc27fcc9fb0637ecacfa425d9fc4263a81	2026-08-27T09:31:41Z	Current design uses misdiagnoses and contains no mis-diagnoses spelling
PRRT_kwDOR3YK5M6Qf31V	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	05023afc27fcc9fb0637ecacfa425d9fc4263a81	2026-08-27T09:31:41Z	Current tracker uses mechanism descriptions, commit identities, and retained artifacts without PR ranges
PRRT_kwDOR3YK5M6Qf8yR	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	05023afc27fcc9fb0637ecacfa425d9fc4263a81	2026-08-27T09:31:41Z	Current reconstruction and typed-split claims use named commits, oracles, and retained evidence instead of private PRs
PRRT_kwDOR3YK5M6Qf8yY	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	05023afc27fcc9fb0637ecacfa425d9fc4263a81	2026-08-27T09:31:41Z	Current tracker defines HBTCL-02 with an exact fbo-clearmipmap rerun gate and contains no HBTCL-02C token
PRRT_kwDOR3YK5M6Qf8yb	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	05023afc27fcc9fb0637ecacfa425d9fc4263a81	2026-08-27T09:31:41Z	Current design separates the unconditional 0x2200-0x22dc read wedge from the conditional 0x4000-and-above black hole
PRRT_kwDOR3YK5M6Qf8yh	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	05023afc27fcc9fb0637ecacfa425d9fc4263a81	2026-08-27T09:31:41Z	Current coordinate contract assigns admitted perspective divide to fragment ALU or VTE and CPU ownership to fallback
PRRT_kwDOR3YK5M6SJFXv	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	05023afc27fcc9fb0637ecacfa425d9fc4263a81	2026-08-27T09:31:41Z	Current new-source policy requires SPDX and retains copyright only for a verified legal holder
PRRT_kwDOR3YK5M6Ta-dG	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	05023afc27fcc9fb0637ecacfa425d9fc4263a81	2026-08-27T09:31:41Z	Current document policy rejects invented project copyright while preserving SPDX and verified-holder attribution
PRRT_kwDOR3YK5M6TtjCM	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	05023afc27fcc9fb0637ecacfa425d9fc4263a81	2026-08-27T09:31:41Z	Current v2 schema requires loaded libgallium path, SHA-256, Build ID, and provenance; calibrated mutations pass
PRRT_kwDOR3YK5M6TtjCO	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	05023afc27fcc9fb0637ecacfa425d9fc4263a81	2026-08-27T09:31:41Z	Current v2 schema requires DDX hash and Build ID plus Radeon package and provenance; calibrated mutations pass
PRRT_kwDOR3YK5M6TtjCR	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	05023afc27fcc9fb0637ecacfa425d9fc4263a81	2026-08-27T09:31:41Z	Current root and source-authority policies assign retained RS482 evidence to steinmarder-r300
PRRT_kwDOR3YK5M6TtjCT	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	05023afc27fcc9fb0637ecacfa425d9fc4263a81	2026-08-27T09:31:41Z	Current SPDX policy supersedes invented Markdown copyright and JSON comment attribution
PRRT_kwDOR3YK5M6TvpLc	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	05023afc27fcc9fb0637ecacfa425d9fc4263a81	2026-08-27T09:31:41Z	Current hard and expanded new-file rules agree on SPDX and verified-holder-only copyright
PRRT_kwDOR3YK5M6RnHS5	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	3b355908198285831108be57003bdfbd69a796cb	2026-08-27T18:23:16Z	The force-split memo reaches the shadow checker, and the plan oracle covers matching and deliberate-divergence paths
PRRT_kwDOR3YK5M6SK5OQ	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	3b355908198285831108be57003bdfbd69a796cb	2026-08-27T18:23:16Z	Producer staging reserves before list construction and reserves the expanded dirty-state budget again after a validation flush
PRRT_kwDOR3YK5M6SKFQo	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	3b355908198285831108be57003bdfbd69a796cb	2026-08-27T18:23:16Z	The transaction retains its output resource, and the staging oracle preserves that relocation across a dirty framebuffer rebind
