work_group_id	history_group_id	review_path	source_anchor	thread_count	review_source_count	available_review_source_count	unavailable_review_source_count	unchanged_review_source_count	changed_review_source_count	merged_anchor_count	current_path_state	path_change_candidate_count	path_change_candidates	single_change_candidate	validation_gate	history_state	next_action
work-terakan-draw-c-terakan-cmddraw-vkcommandbuffer-const-commandbuffer-uint3-900f68a6fb22	history-changed-without-merged-anchor-warning-clean-driver-build-and-focused-3d391b39e717	src/amd/terascale/vulkan/terakan_draw.c	terakan cmddraw vkcommandbuffer const commandbuffer uint32 t const vertexcount	1	1	1	0	0	1	0	present	0			warning-clean-driver-build-and-focused-test	changed-without-merged-anchor	compare-reviewed-and-current-blobs-without-ancestry-claim
work-terakan-nir-lower-abi-c-terakan-nir-binding-mutable-resource-93b555541a7e	history-changed-without-merged-anchor-warning-clean-driver-build-and-focused-3d391b39e717	src/amd/terascale/vulkan/nir/terakan_nir_lower_abi.c	terakan nir binding mutable resource index	1	1	1	0	0	1	0	present	0			warning-clean-driver-build-and-focused-test	changed-without-merged-anchor	compare-reviewed-and-current-blobs-without-ancestry-claim
work-terakan-dmabuf-carrier-c-static-const-struct-terakan-carrier-policy-b84601ff7ee9	history-changed-without-merged-anchor-warning-clean-driver-build-and-focused-3d391b39e717	src/amd/terascale/vulkan/terakan_dmabuf_carrier.c	static const struct terakan carrier policy palm carrier policy	1	1	1	0	0	1	0	present	0			warning-clean-driver-build-and-focused-test	changed-without-merged-anchor	compare-reviewed-and-current-blobs-without-ancestry-claim
work-vl-h264-slice-parser-c-original-line-201-66c947bbe1e8	history-changed-without-merged-anchor-warning-clean-build-and-focused-test-a7ce3b43c9ad	src/gallium/auxiliary/vl/vl_h264_slice_parser.c	original line 201	1	1	1	0	0	1	0	present	0			warning-clean-build-and-focused-test	changed-without-merged-anchor	compare-reviewed-and-current-blobs-without-ancestry-claim
work-vl-h264-slice-parser-test-c-original-line-87-43283acd7a1b	history-changed-without-merged-anchor-warning-clean-build-and-focused-test-a7ce3b43c9ad	src/gallium/auxiliary/vl/tests/vl_h264_slice_parser_test.c	original line 87	1	1	1	0	0	1	0	present	0			warning-clean-build-and-focused-test	changed-without-merged-anchor	compare-reviewed-and-current-blobs-without-ancestry-claim
work-vl-h264-cavlc-tables-h-original-line-7-5cb04185aaf6	history-changed-without-merged-anchor-warning-clean-build-and-focused-test-a7ce3b43c9ad	src/gallium/auxiliary/vl/vl_h264_cavlc_tables.h	original line 7	1	1	1	0	0	1	0	present	0			warning-clean-build-and-focused-test	changed-without-merged-anchor	compare-reviewed-and-current-blobs-without-ancestry-claim
work-vl-h264-mb-decode-c-original-line-212-e3e3d014fc2d	history-changed-without-merged-anchor-warning-clean-build-and-focused-test-a7ce3b43c9ad	src/gallium/auxiliary/vl/vl_h264_mb_decode.c	original line 212	2	1	1	0	0	1	0	present	0			warning-clean-build-and-focused-test	changed-without-merged-anchor	compare-reviewed-and-current-blobs-without-ancestry-claim
work-vl-h264-slice-parser-c-original-line-187-97c53e0beb1e	history-changed-without-merged-anchor-warning-clean-build-and-focused-test-a7ce3b43c9ad	src/gallium/auxiliary/vl/vl_h264_slice_parser.c	original line 187	1	1	1	0	0	1	0	present	0			warning-clean-build-and-focused-test	changed-without-merged-anchor	compare-reviewed-and-current-blobs-without-ancestry-claim
work-terakan-softfp64-lifetime-contract-test-py-original-line-58-fec8187937aa	history-changed-since-review-python-test-black-and-ruff-4f24d814a320	src/amd/terascale/vulkan/tests/terakan_softfp64_lifetime_contract_test.py	original line 58	1	1	1	0	0	1	1	present	3	7c94a98b7139262e83035d11ec2c382503cb110c;e4746eabff4e19141894844dc6f6c11fa1945cf2;3742009c13db4a63b0bcfdb37b1e8f2bc5d04e40		python-test-black-and-ruff	changed-since-review	inspect-path-change-sequence-against-review-claims
work-terakan-softfp64-lifetime-contract-test-py-def-verify-contract-source-e5c30b962861	history-changed-since-review-python-test-black-and-ruff-4cd4e52f3dea	src/amd/terascale/vulkan/tests/terakan_softfp64_lifetime_contract_test.py	def verify contract source str meson str softfp64 str none	1	1	1	0	0	1	1	present	1	3742009c13db4a63b0bcfdb37b1e8f2bc5d04e40	3742009c13db4a63b0bcfdb37b1e8f2bc5d04e40	python-test-black-and-ruff	changed-since-review	verify-single-path-change-against-review-claims
