thread_id	frontier_id	priority	domain	mechanism	current_evidence	completion_state	required_observation	execution_class	canonical_data_target	completion_gate	falsification_condition	disposition	merged_evidence_commit
PRRT_kwDOR3YK5M6C8Exz	sfn-cmpxchg-channel-log-alignment-C8Exz	unbadged	r600-sfn	sfn-cmpxchg-channel-log-alignment	sfn_instr_mem.cpp defines compare channel Z and uses the shared channel-name helper in RAT_CMPXCHG_MAP diagnostics	closed	Confirm every CMPXCHG diagnostic reports the same channel used by payload emission	offline-source-history	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Any live CMPXCHG diagnostic reports a channel different from emitted payload mapping	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6C_f64	sfn-cmpxchg-comment-prefix-alignment-C_f64	unbadged	r600-sfn	sfn-cmpxchg-comment-prefix-alignment	The retained MEM_RAT field-fuzzer comment block uses aligned continuation prefixes	closed	Inspect the replacement fuzzer comment block for aligned source-comment structure	offline-source-history	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The governed block comment contains a misaligned continuation line	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6C_f6j	sfn-cmpxchg-channel-symbol-definition-C_f6j	unbadged	r600-sfn	sfn-cmpxchg-channel-symbol-definition	sfn_instr_mem.cpp defines TERAKAN_RAT_CMPXCHG_COMPARE_CHANNEL before every use	closed	Compile or inspect the translation unit and require a visible definition before use	offline-source-history	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The symbol is undefined, inconsistently defined, or used before its declaration	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6C_gPn	sfn-cmpxchg-channel-symbol-definition-C_gPn	P1	r600-sfn	sfn-cmpxchg-channel-symbol-definition	sfn_instr_mem.cpp defines TERAKAN_RAT_CMPXCHG_COMPARE_CHANNEL before every use	closed	Compile or inspect the translation unit and require a visible definition before use	offline-source-history	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The symbol is undefined, inconsistently defined, or used before its declaration	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DAAWm	terakan-global-cmpxchg-access-comment-DAAWm	unbadged	terakan-nir	terakan-global-cmpxchg-access-comment-accuracy	terakan_nir_lower_cmpxchg.c distinguishes SSBO and image access flags from global atomic opcode-only indices	closed	Compare the comment with NIR intrinsic index definitions for all three atomic forms	offline-source-history	src/amd/terascale/vulkan/nir/terakan_nir_lower_cmpxchg.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The comment again claims global_atomic_swap carries an ACCESS index	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DB-k1	sfn-image-atomic-return-toggle-scope-DB-k1	P2	r600-sfn	sfn-image-atomic-return-toggle-scope	sfn_instr_mem.cpp gates experimental return-fetch options with image_atomic_return equal to not image_load	closed	Trace image_load and image-atomic control flow through every experimental return-fetch option	offline-source-history	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	An experimental atomic-return option changes ordinary imageLoad encoding	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DCDoY	sfn-uav-store-comp-mask-zero-rejection-DCDoY	unbadged	r600-sfn	sfn-uav-store-comp-mask-zero-rejection	sfn_instr_mem.cpp rejects fuzzer comp_mask zero with a diagnostic and accepts only 1 through 15	closed	Exercise or inspect the unified fuzzer parser and emitted rat_comp_mask selection	offline-source-history	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	TERAKAN_FUZZ_VALUE zero is accepted but emitted as mask one or reaches malformed hardware submission	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DCE46	sfn-uav-store-comp-mask-zero-rejection-DCE46	P2	r600-sfn	sfn-uav-store-comp-mask-zero-rejection	sfn_instr_mem.cpp rejects fuzzer comp_mask zero with a diagnostic and accepts only 1 through 15	closed	Exercise or inspect the unified fuzzer parser and emitted rat_comp_mask selection	offline-source-history	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	TERAKAN_FUZZ_VALUE zero is accepted but emitted as mask one or reaches malformed hardware submission	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DCGBV	terakan-cmpxchg-strict-reject-prebinding-DCGBV	unbadged	terakan-pipeline	terakan-cmpxchg-strict-reject-prebinding	Compute post-link lowering returns the strict-reject witness before binding lowering consumes atomic intrinsics	closed	Trace strict-reject production inside post-link lowering and its immediate compute pipeline error propagation	offline-source-history	src/amd/terascale/vulkan/terakan_pipeline_compute.c;src/amd/terascale/vulkan/terakan_shader.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A surviving CMPXCHG reaches binding lowering without setting VK_ERROR_FEATURE_NOT_PRESENT	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DCGBe	terakan-cmpxchg-strict-reject-prebinding-DCGBe	unbadged	terakan-pipeline	terakan-cmpxchg-strict-reject-prebinding	Graphics post-link lowering returns strict-reject witnesses before binding lowering consumes atomic intrinsics	closed	Trace strict-reject production inside post-link lowering and immediate graphics pipeline error propagation	offline-source-history	src/amd/terascale/vulkan/terakan_pipeline_graphics.c;src/amd/terascale/vulkan/terakan_shader.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A surviving graphics-stage CMPXCHG reaches binding lowering without setting VK_ERROR_FEATURE_NOT_PRESENT	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DM-_V	sfn-comp-mask-override-comment-domain-DM-_V	unbadged	r600-sfn	sfn-comp-mask-override-comment-domain	The clamp-site comment restricts overrides to valid non-baseline values in the 1 through 15 domain	closed	Compare parser ranges with the clamp-bypass comment and rat_comp_mask assignment	offline-source-history	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The comment again claims out-of-spec component masks can reach hardware	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DOxLR	sfn-comp-mask-override-source-comment-DOxLR	unbadged	r600-sfn	sfn-comp-mask-override-source-comment	sfn_instr_mem.cpp names both the experimental override and unified fuzzer as clamp-bypass sources	closed	Inspect every assignment to cmpxchg_comp_mask_overridden and the governing comment	offline-source-history	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The comment omits or misattributes an active override source	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DOxL6	terakan-image-atomic-format-bit-comment-DOxL6	unbadged	terakan-pipeline	terakan-image-atomic-format-bit-comment	terakan_shader.h names VK_FORMAT_FEATURE_2_STORAGE_IMAGE_ATOMIC_BIT as the capability-query guard	closed	Compare shader interface documentation with the exact format-feature bit used in terakan_format.c	offline-source-history	src/amd/terascale/vulkan/terakan_shader.h	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The interface comment names a nonexistent or mismatched Vulkan format bit	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DjHX8	terakan-image-dim-comment-provenance-DjHX8	P1	terakan-image	terakan-image-dim-comment-provenance	terakan_image.c states the Palm mechanism directly without internal finding paths or tier labels	closed	Scan the cube DIM comment for repository-local evidence breadcrumbs and mechanism completeness	offline-source-history	src/amd/terascale/vulkan/terakan_image.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The governed source comment depends on an unreachable internal evidence path or tier code	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DjL9M	terakan-cube-lowering-pass-comment-DjL9M	unbadged	terakan-image	terakan-cube-lowering-pass-comment	terakan_shader.c identifies r600_nir_lower_cube_to_2darray directly and describes repeated lowering without the wrong SFN stage	closed	Trace the cube lowering call and compare its source comment with the current pass sequence	offline-source-history	src/amd/terascale/vulkan/terakan_shader.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The comment again attributes cube lowering to r600_lower_and_optimize_nir	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DjzLf	terakan-palm-cube-dim-scope-DjzLf	P2	terakan-image	terakan-palm-cube-dim-scope	terakan_image.c restricts the DIM-rewrite result to Palm and requires independent validation on other GPUs	closed	Read the retained DIM mechanism comment and require chip-specific evidence boundaries	offline-source-history	src/amd/terascale/vulkan/terakan_image.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The comment generalizes Palm silicon evidence to an untested GPU family	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DkbGC	terakan-cube-coordinate-exact-env-gate-DkbGC	unbadged	terakan-image	terakan-cube-coordinate-exact-env-gate	terakan_shader.c uses terakan_env_gate_enabled so only the exact string 1 enables coordinate normalization	closed	Run the env-gate matrix or inspect the shared exact-value helper at the coordinate pass call	offline-build-test	src/amd/terascale/vulkan/terakan_shader.c;src/amd/terascale/vulkan/terakan_env.h	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Unset, empty, zero, or any non-1 value enables coordinate normalization	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DkbGH	terakan-cube-dim-exact-env-gate-DkbGH	unbadged	terakan-image	terakan-cube-dim-exact-env-gate	terakan_image.c uses terakan_env_gate_enabled so only the exact string 1 enables DIM rewriting	closed	Run the env-gate matrix or inspect the shared exact-value helper at the DIM rewrite call	offline-build-test	src/amd/terascale/vulkan/terakan_image.c;src/amd/terascale/vulkan/terakan_env.h	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Unset, empty, zero, or any non-1 value enables DIM rewriting	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DkbGK	terakan-cube-coordinate-arity-guard-DkbGK	unbadged	terakan-image	terakan-cube-coordinate-arity-guard	terakan_shader.c skips coordinates below three components and asserts the invariant before channel access	closed	Inspect release and debug paths before nir_channel reads and require a three-component minimum	offline-source-history	src/amd/terascale/vulkan/terakan_shader.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Any coordinate with fewer than three components reaches channel two access	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
