corpus_rank	thread_id	pull_request_number	pull_request_state	pull_request_title	pull_request_created_at	pull_request_merged_at	pull_request_merge_commit	thread_created_at	is_outdated	review_path	line	original_line	review_authors	comment_count	first_comment_url	first_comment_sha256	review_commit_oid	original_commit_oid	diff_hunk_sha256	source_anchor	claim_heading	claim_fingerprint
1	PRRT_kwDOR3YK5M6CWWKm	28	CLOSED	r600/terakan: strip phase/task/date breadcrumbs from source comments	2026-05-15T11:55:18Z			2026-05-15T12:00:15Z	false	src/amd/terascale/vulkan/terakan_draw.c	365	365	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/28#discussion_r3248019629	4ad6cfe724f16298d5091c24aa16f7010f9031f9ae8d2a8f33a115aa44254a26	db8a528134d49e111bdc1a46929d216e36ffc9af	db8a528134d49e111bdc1a46929d216e36ffc9af	ea5a438e2199e193d30547bbf963d4a27fa53610853729294cee6a68065d4353	terakan cmddraw vkcommandbuffer const commandbuffer uint32 t const vertexcount	update attachment layer state inside each multiview draw	7a0ae2b5c5eb9a1f91fe9d65349cc4e217837552afb6f711f76349cc2578387f
2	PRRT_kwDOR3YK5M6ChBF4	46	CLOSED	terakan/nir: load robustness metadata via component-offset, not bank-offset	2026-05-16T02:22:07Z			2026-05-16T02:25:34Z	false	src/amd/terascale/vulkan/nir/terakan_nir_lower_abi.c	520	520	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/46#discussion_r3251852166	f422f0df795ff4eb463676d80931a871e9410f79ffa4eb84292745e90f3beafc	8898b5e0effc490d0f3ed7655575dae33a16b69a	8898b5e0effc490d0f3ed7655575dae33a16b69a	1365616556d3c216b0d82a3364c8e0ae2802898a1b0ec7a6896ccbdb39c3136b	terakan nir binding mutable resource index	index dynamic robustness loads by vec4 row	81b6dc51b3f2f234727ad5b8fa203d5b6ff9fb66f97ec8ee97cfaf86e73cccb1
3	PRRT_kwDOR3YK5M6C_gYg	99	CLOSED	terakan: default CHIP_PALM atomicCompSwap to speculative-XCHG	2026-05-18T22:39:59Z			2026-05-18T22:44:41Z	false	src/amd/terascale/vulkan/terakan_dmabuf_carrier.c	90	90	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/99#discussion_r3262626421	b09ab39ec70ad32cdff80572f7af118d148032b332587d28265ed7df853381fd	942000657f5d076f799bd80dcb5d07069c8ff3d7	942000657f5d076f799bd80dcb5d07069c8ff3d7	8e78ccbb821ae63b0084dffed1a9ce9a749a418fd7dcc6f82e2141dd825315f6	static const struct terakan carrier policy palm carrier policy	the carrier policy reason string claims the non palm default is native noop legacy for every other terakan chip family but then lists only a subset missing at least chip hemlock chip barts chip turks chip caicos which are also recogn	745aa85ac32a5077fb090337851cc0575e46fcfbd0efb521193112d9392c29b7
4	PRRT_kwDOR3YK5M6LaOsk	786	CLOSED	gallium/vl: H.264 CAVLC front end -- bitstream reader and slice-header parser	2026-06-22T21:56:35Z			2026-06-22T22:06:09Z	false	src/gallium/auxiliary/vl/tests/vl_h264_slice_parser_test.c	87	87	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3455720534	bb9f851824d6cb83edb07fcf2dac2c23a53fdbd60dd8348e8f16856ff4b4f998	ca6e98a17da81579140758d0566456232829d430	961ffe77ce149f6abef365f071722fa34b269555	d1da80220484216a31afc0516d6c6402d627cd68775ef8211caecab78a226e2d	original line 87	trim the next annex b start code from the fixture	8dca238d096211622ce6dd0a5cd2b591c2f30ec5982a058f34e92c5c84a2fcdb
5	PRRT_kwDOR3YK5M6LaOsq	786	CLOSED	gallium/vl: H.264 CAVLC front end -- bitstream reader and slice-header parser	2026-06-22T21:56:35Z			2026-06-22T22:06:09Z	false	src/gallium/auxiliary/vl/vl_h264_slice_parser.c	201	201	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3455720541	25f2e476ceced316f0c097e377694cb324e9f62326db84b7766c10918771e6f9	ca6e98a17da81579140758d0566456232829d430	961ffe77ce149f6abef365f071722fa34b269555	b4276c7a3e13dd0d9aca15f2e5927af444e596f1cf534ab0fc116a386613dc8d	original line 201	use the va supplied active reference count	468144a772f632e0c26cc288948f2d15d3033e8a5b5564b43e3490dc4907bffe
6	PRRT_kwDOR3YK5M6L_w9G	786	CLOSED	gallium/vl: H.264 CAVLC front end -- bitstream reader and slice-header parser	2026-06-22T21:56:35Z			2026-06-24T18:15:13Z	false	src/gallium/auxiliary/vl/vl_h264_cavlc_tables.h	7	7	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3469309017	eb670fa4274921ce9ec6ea4b672e550de8c97926a34c86231ec345e1bd207cc2	ca6e98a17da81579140758d0566456232829d430	ca6e98a17da81579140758d0566456232829d430	810f298f2417c5cd7d6acf735709f7d90a59f870087c8bef54bbacc1973d5c15	original line 7	keep cavlc table generation inside mesa	8262592c3d9c31d9f63091e9baa607f4bd85f2cedf39097358d39505b82ec98d
7	PRRT_kwDOR3YK5M6L_w9U	786	CLOSED	gallium/vl: H.264 CAVLC front end -- bitstream reader and slice-header parser	2026-06-22T21:56:35Z			2026-06-24T18:15:13Z	false	src/gallium/auxiliary/vl/vl_h264_mb_decode.c	212	212	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3469309034	19f9bd14e494ff45515f78e3826acadf4a01032242bafcc38816ab70c2a80209	ca6e98a17da81579140758d0566456232829d430	ca6e98a17da81579140758d0566456232829d430	32a89220863f1f06dbc2653ddfc56249133cd03ed31d1e0f108bf5cf4f37a5be	original line 212	copy slice deblock controls into each contract	9e05380b26add3eece6696ed7fa8dae8906bf7e172bc966562ec71bc200e8b89
8	PRRT_kwDOR3YK5M6L_w9Y	786	CLOSED	gallium/vl: H.264 CAVLC front end -- bitstream reader and slice-header parser	2026-06-22T21:56:35Z			2026-06-24T18:15:13Z	false	src/gallium/auxiliary/vl/vl_h264_mb_decode.c	212	212	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3469309038	e7bf870a7e1f3f6455c0fdc360252c980a073243e4c5cf6d599623b1393a5868	ca6e98a17da81579140758d0566456232829d430	ca6e98a17da81579140758d0566456232829d430	32a89220863f1f06dbc2653ddfc56249133cd03ed31d1e0f108bf5cf4f37a5be	original line 212	mark native intra macroblocks with unused references	49299a88a8919be92be4115509c9e43029b91d4766b4c1fedf377456bedf865a
9	PRRT_kwDOR3YK5M6L_w9c	786	CLOSED	gallium/vl: H.264 CAVLC front end -- bitstream reader and slice-header parser	2026-06-22T21:56:35Z			2026-06-24T18:15:13Z	false	src/gallium/auxiliary/vl/vl_h264_slice_parser.c	187	187	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3469309043	065ff1a32189b707f39ebd38e5927c73a501f62352710b3baf4e45554bc9fbb9	ca6e98a17da81579140758d0566456232829d430	ca6e98a17da81579140758d0566456232829d430	94a6e3021025d688e0d7d012f95d4ca29942c1447d21f1efbde68c8e2a71ba2d	original line 187	reject field coded slices before raster decoding	cc5899e7950edfddb5cee3a2a11c26fe593dbbcac186170d4bb7e48dccac7004
10	PRRT_kwDOR3YK5M6X3byR	1305	MERGED	terakan: close softfp64 initialization failure paths	2026-08-10T12:20:59Z	2026-08-10T12:21:30Z	62ce0618536ebcb0e35704d2b4b445409d28e3e0	2026-08-10T12:26:10Z	false	src/amd/terascale/vulkan/tests/terakan_softfp64_lifetime_contract_test.py	58	58	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1305#discussion_r3749439672	4809cefe0e7a587e2eba3911ece99fc871004d7736eb486cd390b1e7702723c4	4d9bf6227ad9fcb1c3d1840f60243df7e9b4a48f	4d9bf6227ad9fcb1c3d1840f60243df7e9b4a48f	05a02a229a86b73355b6ec3a817f631d8b5ad4b276c9d53a78450df799f95ed5	original line 58	verify that wsi failures reach fail device	7a2b88d37b938ff2268c2614c151884ca8e555ee5177c89d03caf4f42197b50a
