batch_rank	thread_id	pr_number	pr_title	pr_created_at	pr_merged_at	thread_created_at	is_outdated	review_path	line	original_line	review_authors	comment_count	first_comment_url	first_comment_sha256
1	PRRT_kwDOR3YK5M6C8Exz	93	r600/sfn: place CMPXCHG CmpData in channel Z per Evergreen + Cayman ISA (structural parity)	2026-05-18T19:00:24Z	2026-05-19T03:37:35Z	2026-05-18T19:03:09Z	false	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	1231	1235	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/93#discussion_r3261355096	c6d910f9c3b12cbf9d36dd92e23b28862689f3c53b557789e6b0a568ca613759
2	PRRT_kwDOR3YK5M6C_f64	100	r600/sfn: MEM_RAT_ATOMIC packet-field fuzzer for Palm CMPXCHG investigation	2026-05-18T22:40:33Z	2026-05-19T03:42:22Z	2026-05-18T22:43:59Z	true	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	1703	1683	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/100#discussion_r3262623873	7529ac44371fbe1d19744af47eaa2adf2b68584085e8a79c7ab767058c1d678e
3	PRRT_kwDOR3YK5M6C_f6j	100	r600/sfn: MEM_RAT_ATOMIC packet-field fuzzer for Palm CMPXCHG investigation	2026-05-18T22:40:33Z	2026-05-19T03:42:22Z	2026-05-18T22:43:59Z	false	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	1555	1535	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/100#discussion_r3262623849	87f48197895e2132d2c38cc2cc6c8e1581cdb63df0a7ffed05903b1f0f144f74
4	PRRT_kwDOR3YK5M6C_gPn	100	r600/sfn: MEM_RAT_ATOMIC packet-field fuzzer for Palm CMPXCHG investigation	2026-05-18T22:40:33Z	2026-05-19T03:42:22Z	2026-05-18T22:44:27Z	false	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	1555	1535	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/100#discussion_r3262625663	1a16859274e0978daa45131451ea84778fbc58417a6bad1abe8f1d0f93f56ebc
5	PRRT_kwDOR3YK5M6DAAWm	102	[codex] r600/terakan: keep Palm CMPXCHG policy conservative	2026-05-18T23:37:11Z	2026-05-18T23:37:23Z	2026-05-18T23:41:21Z	false	src/amd/terascale/vulkan/nir/terakan_nir_lower_cmpxchg.c	163	163	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/102#discussion_r3262805757	1fe8a5082632d99bbec23e7566b2ce4f4afc371b96de418c47831a6e258f8a01
6	PRRT_kwDOR3YK5M6DB-k1	104	r600/sfn: add image atomic return-fetch encoding toggles	2026-05-19T03:45:38Z	2026-05-19T03:45:56Z	2026-05-19T03:50:15Z	false	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	1847	1847	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/104#discussion_r3263528741	a58ad677c2607b144d398f0e2160d1c64c56b8932c56ed542d1f872172e43e83
7	PRRT_kwDOR3YK5M6DCDoY	105	r600/sfn: relocate MEM_RAT_ATOMIC field fuzzer to live UAV emit path	2026-05-19T03:58:20Z	2026-05-19T04:04:07Z	2026-05-19T04:00:58Z	false	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	1108	1108	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/105#discussion_r3263556199	0871d36a9df55b6347262ed0222b71cb6505d535793310354f152a8cc79888c9
8	PRRT_kwDOR3YK5M6DCE46	105	r600/sfn: relocate MEM_RAT_ATOMIC field fuzzer to live UAV emit path	2026-05-19T03:58:20Z	2026-05-19T04:04:07Z	2026-05-19T04:03:37Z	false	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	1107	1107	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/105#discussion_r3263563065	426b1bb282130e057ba066dc636688bdf742519e43870372fe3d02c01afbb76b
9	PRRT_kwDOR3YK5M6DCGBV	106	terakan: reject Palm CMPXCHG pipelines in strict mode	2026-05-19T04:03:04Z	2026-05-19T04:03:13Z	2026-05-19T04:05:54Z	false	src/amd/terascale/vulkan/terakan_pipeline_compute.c	168	168	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/106#discussion_r3263569567	e8cfdadb9ebee9f53675e2128286b8a15a5ac6ceb19db8d7b3dbf563df313113
10	PRRT_kwDOR3YK5M6DCGBe	106	terakan: reject Palm CMPXCHG pipelines in strict mode	2026-05-19T04:03:04Z	2026-05-19T04:03:13Z	2026-05-19T04:05:54Z	false	src/amd/terascale/vulkan/terakan_pipeline_graphics.c	1990	1990	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/106#discussion_r3263569581	930f83c352cf898ed9fde989bf18589471757dfa988d5db05549bb79e0faa0f3
11	PRRT_kwDOR3YK5M6DM-_V	116	r600/sfn: reject TERAKAN_FUZZ_FIELD=comp_mask TERAKAN_FUZZ_VALUE=0	2026-05-19T15:20:12Z	2026-05-19T15:25:59Z	2026-05-19T15:23:55Z	false	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	1158	1158	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/116#discussion_r3267490003	b7109508f6dcfd3c37aa1fbc68c62b6d8db73d3ae94d7daec0042aa549af15b8
12	PRRT_kwDOR3YK5M6DOxLR	121	build,terakan,r600/sfn: Wave 7 reviewer-found idiom corrections	2026-05-19T17:01:24Z	2026-05-19T17:04:47Z	2026-05-19T17:04:15Z	false	src/gallium/drivers/r600/sfn/sfn_instr_mem.cpp	1163	1163	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/121#discussion_r3268140015	95a0861213a6d39bb88a4f39570d1c990f17ddc77ccc9e39d3b71c0e9214d658
13	PRRT_kwDOR3YK5M6DOxL6	121	build,terakan,r600/sfn: Wave 7 reviewer-found idiom corrections	2026-05-19T17:01:24Z	2026-05-19T17:04:47Z	2026-05-19T17:04:16Z	false	src/amd/terascale/vulkan/terakan_shader.h	369	369	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/121#discussion_r3268140064	fd405d11e98b3a928cd773aa0adf7c158306c11a1f7a6ed3930d5a9a29690183
14	PRRT_kwDOR3YK5M6DjHX8	129	terakan: record falsified cube int gather DIM-patch experiment as sentinel comment	2026-05-20T16:20:24Z	2026-05-20T16:21:11Z	2026-05-20T16:22:07Z	false	src/amd/terascale/vulkan/terakan_image.c	1953	1953	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/129#discussion_r3275498864	fed0c4eb575c13d6b0cdb6b06c5b5719216b89d930c79bfde20142ac7111dc1a
15	PRRT_kwDOR3YK5M6DjL9M	128	r600/sfn,terakan: int_tg4 pre-lowered gate + view-swizzle cube enable	2026-05-20T16:19:15Z	2026-05-20T16:20:53Z	2026-05-20T16:26:36Z	false	src/amd/terascale/vulkan/terakan_shader.c	1301	1301	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/128#discussion_r3275524458	c709d91d21958b9869a95bc57fe289b37237ff5ab816f1ae6cae2749807c03e3
16	PRRT_kwDOR3YK5M6DjzLf	130	terakan,r600/sfn: cube int gather comment fixes (reviewer feedback)	2026-05-20T17:03:10Z	2026-05-20T17:03:25Z	2026-05-20T17:05:42Z	false	src/amd/terascale/vulkan/terakan_image.c	1946	1946	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/130#discussion_r3275741072	c9b208cf27ddb5bb52fd40531d028161af323cff3b895d8a3781f361a4b9c58f
17	PRRT_kwDOR3YK5M6DkbGC	131	terakan: env-gated experimental cube int gather paths	2026-05-20T17:43:27Z	2026-05-20T17:43:40Z	2026-05-20T17:44:50Z	false	src/amd/terascale/vulkan/terakan_shader.c	1142	1142	sourcery-ai	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/131#discussion_r3275963368	d83a67b6574a046cf8be7737678e897f3191107a1b275676d56a491bd7f79dc5
