"work_group_id"	"status"	"evidence_commit"	"evidence_locator"	"discovery_command"	"verification_command"	"verification_result"	"closure_state"	"reason"	"falsifier"
"work-terakan-softfp64-lifetime-contract-test-py-def-verify-contract-source-e5c30b962861"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/terascale/vulkan/tests/terakan_softfp64_lifetime_contract_test.py:failure_edges"	"rg -n --fixed-strings -- failure_edges src/amd/terascale/vulkan/tests/terakan_softfp64_lifetime_contract_test.py"	""	"not-run"	"open"	"The check still accepts an earlier return when the expected goto remains later in the same block."	"A calibrated early-return mutant is rejected."
"work-r3v-native-float2-tuple-cell-harness-c-original-line-240-b0f277bf9f68"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_native_float2_tuple_cell_harness.c:239"	"nl -ba -- src/amd/r300/vulkan/tests/r3v_native_float2_tuple_cell_harness.c | sed -n 239p"	""	"not-run"	"open"	"The harness still creates its manifest directory from a hard-coded /tmp template."	"The harness creates its private directory below a configured TMPDIR."
"work-r300-r2vb-producer-manifest-check-py-def-validate-outdir-path-bfd931d37bd4"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/common/tests/r300_r2vb_producer_manifest_check.py:265-332"	"nl -ba -- src/amd/r300/common/tests/r300_r2vb_producer_manifest_check.py | sed -n 265,332p"	""	"not-run"	"open"	"The manifest check still accepts out-of-range poison integers and checks only US register presence rather than the trusted program payload."	"Payload-corruption and out-of-range poison mutants are both rejected."
"work-r3v-native-attended-producer-procedure-md-exact-wrong-pattern-falsifies-c2af32add322"	"superseded-on-main"	"e9307acc45eee02601f02b3131cb9ce20fe5be27"	"commit e9307acc45eee02601f02b3131cb9ce20fe5be27 Assisted-by trailer"	"git show --format=fuller --no-patch e9307acc45eee02601f02b3131cb9ce20fe5be27"	""	"not-run"	"open"	"The landed commit uses the repository-prescribed Assisted-by trailer; Generated-by is reserved for changes produced almost entirely by AI."	"The merged commit lacks a recognized disclosure trailer or the policy requires Generated-by for this contribution."
"work-r3v-memory-properties-contract-test-c-original-line-10-48af69cc2b19"	"fixed-on-main"	"cbe9d2597cdfecf75e6cee9653a499a61957f894"	"src/amd/r300/vulkan/tests/r3v_memory_properties_contract_test.c:8"	"nl -ba -- src/amd/r300/vulkan/tests/r3v_memory_properties_contract_test.c | sed -n 8p"	""	"not-run"	"open"	"The test undefines NDEBUG before including assert.h, so release builds retain every contract assertion."	"A release build removes the assertions or the known-bad table passes."
"work-r3v-memory-properties-contract-test-c-original-line-2-3e3b0e7aab3c"	"superseded-on-main"	"3742009c13db4a63b0bcfdb37b1e8f2bc5d04e40"	"AGENTS.md AI disclosure, authorship, and copyright rules"	"rg -n --fixed-strings -- authorship AGENTS.md"	""	"not-run"	"open"	"The current source-header policy requires SPDX on new files and preserves a copyright line only for a verified legal holder."	"A verified legal holder requires attribution in this file under the current policy."
"work-r3v-native-producer-arming-runner-check-py-def-main-f7ee8f3da7d5"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_native_producer_arming_runner_check.py:118-149"	"nl -ba -- src/amd/r300/vulkan/tests/r3v_native_producer_arming_runner_check.py | sed -n 118,149p"	""	"not-run"	"open"	"The sweep route still has only closed and mismatch cases; it lacks both a matching armed run and the reverse cross-stream refusal."	"A matching sweep digest arms the sweep and the sweep digest refuses the reference stream."
"work-r300-r2vb-reingest-manifest-c-original-line-2-97a3387e4ac7"	"superseded-on-main"	"3742009c13db4a63b0bcfdb37b1e8f2bc5d04e40"	"AGENTS.md AI disclosure, authorship, and copyright rules"	"rg -n --fixed-strings -- authorship AGENTS.md"	""	"not-run"	"open"	"The current source-header policy requires SPDX on new files and preserves a copyright line only for a verified legal holder."	"A verified legal holder requires attribution across the new source set under the current policy."
"work-r300-r2vb-reingest-compose-parity-test-c-main-void-0663bcaf5282"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/common/tests/r300_r2vb_reingest_compose_parity_test.c:115"	"nl -ba -- src/amd/r300/common/tests/r300_r2vb_reingest_compose_parity_test.c | sed -n 115p"	""	"not-run"	"open"	"The comment still describes RADEON_GEM_DOMAIN_GTT as applying to an unnamed UMA target."	"The comment names RS482 explicitly or binds the assertion only to the DRM domain constant."
"work-r300-us-source-read-h-enum-r300-source-read-model-6087a25848e2"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/common/r300_us_source_read.h:64-106"	"nl -ba -- src/amd/r300/common/r300_us_source_read.h | sed -n 64,106p"	""	"not-run"	"open"	"The generic FP24 quantizer still applies the R2VB identity-route ceiling to every stored and temporary source value."	"A route-specific R2VB admission bound coexists with the production FP24 storage range."
