thread_id	disposition	evidence_commit	evidence_pr	merged_at	github_resolved_at	post_resolution_verified_at	closure_note
PRRT_kwDOR3YK5M59POaa	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-warmup-submit-error-propagation as fixed on merged main
PRRT_kwDOR3YK5M6B3HBy	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-wide-phi-chain-cap-diagnostic as fixed on merged main
PRRT_kwDOR3YK5M6B41Km	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-fp64-ftz-property-comment-alignment as fixed on merged main
PRRT_kwDOR3YK5M6B42N9	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-denorm-independence-property-consistency as fixed on merged main
PRRT_kwDOR3YK5M6B5FdB	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-r9xx-fp64-capability-gate as fixed on merged main
PRRT_kwDOR3YK5M6B5FdE	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-relaxed-extended-instruction-feature-bit as fixed on merged main
PRRT_kwDOR3YK5M6B6JPg	fixed	96d38e1d40d871c7c658abcb88df7e7813c81e35	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified build-profile-isolated-install-prefix as fixed on merged main
PRRT_kwDOR3YK5M6B6RIa	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-central-descriptor-cap as fixed on merged main
PRRT_kwDOR3YK5M6B6RjW	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-layout-support-create-parity as fixed on merged main
PRRT_kwDOR3YK5M6B6RjZ	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-variable-descriptor-count-presence as fixed on merged main
PRRT_kwDOR3YK5M6CO4cM	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-device-group-dispatch-base-gate as fixed on merged main
PRRT_kwDOR3YK5M6CP-55	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-cmpxchg-scope-chip-policy as fixed on merged main
PRRT_kwDOR3YK5M6CP-58	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-fd-sync-extension-capability-gate as fixed on merged main
PRRT_kwDOR3YK5M6CQHKh	superseded	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-basic-subgroup-capability-gate as superseded on merged main
PRRT_kwDOR3YK5M6CQlxd	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-fallback-uav-index-initialization as fixed on merged main
PRRT_kwDOR3YK5M6CQlxg	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-buffer-uav-compact-offset-index as fixed on merged main
PRRT_kwDOR3YK5M6CQonM	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-buffer-uav-producer-consumer-index as fixed on merged main
PRRT_kwDOR3YK5M6Ca6vi	superseded	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-vote-lowering-capability-gate as superseded on merged main
PRRT_kwDOR3YK5M6Ca6vn	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-ballot-read-invocation-lowering as fixed on merged main
PRRT_kwDOR3YK5M6Ca6vt	fixed	7ac62205eb882df42462d849cc549086b59227ea	1855	2026-08-26T19:16:21Z	2026-08-26T19:18:10Z	2026-08-26T19:18:53Z	Exact node re-query verified terakan-ballot-lds-reinitialization as fixed on merged main
