cluster_rank	cluster_id	work_group_id	oldest_thread_created_at	review_path	source_anchor	thread_count	pull_request_numbers	thread_ids	claim_headings	validation_gate	history_state
1	review-one-change-commit-3742009c13db4a63b0bcfdb37b1e8f2bc5d04e40-787346a4a0be	work-terakan-softfp64-lifetime-contract-test-py-def-verify-contract-source-e5c30b962861	2026-08-10T12:33:42Z	src/amd/terascale/vulkan/tests/terakan_softfp64_lifetime_contract_test.py	def verify contract source str meson str softfp64 str none	1	"[""1306""]"	"[""PRRT_kwDOR3YK5M6X3lYa""]"	"[""reject exits that precede the expected goto""]"	python-test-black-and-ruff	changed-since-review
1	review-one-change-commit-3742009c13db4a63b0bcfdb37b1e8f2bc5d04e40-787346a4a0be	work-r3v-native-float2-tuple-cell-harness-c-original-line-240-b0f277bf9f68	2026-08-15T22:10:39Z	src/amd/r300/vulkan/tests/r3v_native_float2_tuple_cell_harness.c	original line 240	1	"[""1616""]"	"[""PRRT_kwDOR3YK5M6ZjF1o""]"	"[""respect the configured temporary directory""]"	warning-clean-driver-build-and-focused-test	changed-since-review
2	review-one-change-commit-df19f9f8ce039d894ee7bf5ed0158a873b5720e7-d34fe9465cd2	work-r300-r2vb-producer-manifest-check-py-def-validate-outdir-path-bfd931d37bd4	2026-08-14T01:05:15Z	src/amd/r300/common/tests/r300_r2vb_producer_manifest_check.py	def validate outdir path have b3sum bool none	2	"[""1591""]"	"[""PRRT_kwDOR3YK5M6ZIX10"",""PRRT_kwDOR3YK5M6ZIX2C""]"	"[""validate the exact compiled us block"",""bound the poison value to one dword""]"	python-test-black-and-ruff	changed-since-review
2	review-one-change-commit-df19f9f8ce039d894ee7bf5ed0158a873b5720e7-d34fe9465cd2	work-r3v-native-attended-producer-procedure-md-exact-wrong-pattern-falsifies-c2af32add322	2026-08-14T22:46:33Z	docs/hardware/r3v-native-attended-producer-procedure.md	exact wrong pattern falsifies the exponent window hypothesis itself	1	"[""1608""]"	"[""PRRT_kwDOR3YK5M6ZbztK""]"	"[""use the mesa ai disclosure trailer""]"	documentation-symbol-and-link-check	changed-since-review
3	review-one-change-commit-cbe9d2597cdfecf75e6cee9653a499a61957f894-d13cc3bd1b76	work-r3v-memory-properties-contract-test-c-original-line-10-48af69cc2b19	2026-08-14T02:00:06Z	src/amd/r300/vulkan/tests/r3v_memory_properties_contract_test.c	original line 10	1	"[""1594""]"	"[""PRRT_kwDOR3YK5M6ZI5HF""]"	"[""keep contract checks live in release builds""]"	warning-clean-driver-build-and-focused-test	changed-since-review
3	review-one-change-commit-cbe9d2597cdfecf75e6cee9653a499a61957f894-d13cc3bd1b76	work-r3v-memory-properties-contract-test-c-original-line-2-3e3b0e7aab3c	2026-08-14T02:00:06Z	src/amd/r300/vulkan/tests/r3v_memory_properties_contract_test.c	original line 2	1	"[""1594""]"	"[""PRRT_kwDOR3YK5M6ZI5HM""]"	"[""add a real copyright line to the new contract test""]"	warning-clean-driver-build-and-focused-test	changed-since-review
4	review-one-change-commit-3bd7c9fc002ee3e0f46ff0f37c8a7a8605ea2a83-a0ec1586b877	work-r3v-native-producer-arming-runner-check-py-def-main-f7ee8f3da7d5	2026-08-14T13:57:31Z	src/amd/r300/vulkan/tests/r3v_native_producer_arming_runner_check.py	def main	2	"[""1602""]"	"[""PRRT_kwDOR3YK5M6ZTCPO"",""PRRT_kwDOR3YK5M6ZTDHx""]"	"[""functional correctness minor quick win"",""calibrate an armed sweep verdict""]"	python-test-black-and-ruff	changed-since-review
5	review-one-change-commit-428f6dcbb0e1cd71417e1169c385f9e62f2ac0b7-efaa3066a9dd	work-r300-r2vb-reingest-manifest-c-original-line-2-97a3387e4ac7	2026-08-14T14:16:04Z	src/amd/r300/common/r300_r2vb_reingest_manifest.c	original line 2	1	"[""1603""]"	"[""PRRT_kwDOR3YK5M6ZTeBy""]"	"[""add real copyright lines to the new source headers""]"	warning-clean-driver-build-and-focused-test	changed-since-review
5	review-one-change-commit-428f6dcbb0e1cd71417e1169c385f9e62f2ac0b7-efaa3066a9dd	work-r300-r2vb-reingest-compose-parity-test-c-main-void-0663bcaf5282	2026-08-16T13:16:49Z	src/amd/r300/common/tests/r300_r2vb_reingest_compose_parity_test.c	main void	1	"[""1624""]"	"[""PRRT_kwDOR3YK5M6Zm_Mk""]"	"[""replace the deictic uma target with exact chip identity""]"	warning-clean-driver-build-and-focused-test	changed-since-review
6	review-one-change-commit-1a8033cbeec7650ebd5a0cce7c298aa06d6d67d8-48f0febcc9d5	work-r300-us-source-read-h-enum-r300-source-read-model-6087a25848e2	2026-08-14T22:46:33Z	src/amd/r300/common/r300_us_source_read.h	enum r300 source read model	1	"[""1608""]"	"[""PRRT_kwDOR3YK5M6ZbztH""]"	"[""keep the r2vb ceiling out of the generic fp24 model""]"	warning-clean-driver-build-and-focused-test	changed-since-review
7	review-one-change-commit-5b7fbd51140acd73c82e5c8d6ff9b9d50e01509b-a10212ee3552	work-r300-pm4-builder-c-r300-pm4-reloc-nop-struct-r300-9487ac93309d	2026-08-15T23:53:13Z	src/amd/r300/common/r300_pm4_builder.c	r300 pm4 reloc nop struct r300 pm4 builder b uint32 t payload	1	"[""1618""]"	"[""PRRT_kwDOR3YK5M6Zjitu""]"	"[""accept the full 24 bit vertex index range""]"	warning-clean-driver-build-and-focused-test	changed-since-review
8	review-one-change-commit-9ebc57897138fd5c4b6ab087a21452da1caf7a56-50205fc559fb	work-r3v-native-burst-cell-harness-c-run-burst-leg-vkinstance-aa8bd4a0156f	2026-08-21T00:59:40Z	src/amd/r300/vulkan/tests/r3v_native_burst_cell_harness.c	run burst leg vkinstance instance	1	"[""1666""]"	"[""PRRT_kwDOR3YK5M6bAUDt""]"	"[""create the pool with per buffer reset enabled""]"	warning-clean-driver-build-and-focused-test	changed-since-review
9	review-one-change-commit-60ae71b6e75360b9cc12dd4b524381da9da7feb4-959dd8f15fa9	work-r300-cpu-compute-job-c-original-line-39-8e7a32b31e5b	2026-08-21T08:31:32Z	src/amd/r300/cpu/r300_cpu_compute_job.c	original line 39	1	"[""1673""]"	"[""PRRT_kwDOR3YK5M6bF0Bq""]"	"[""accept zero sized dispatches as no ops""]"	warning-clean-driver-build-and-focused-test	changed-since-review
9	review-one-change-commit-60ae71b6e75360b9cc12dd4b524381da9da7feb4-959dd8f15fa9	work-r300-cpu-compute-job-c-original-line-52-c7f087d76583	2026-08-21T08:31:32Z	src/amd/r300/cpu/r300_cpu_compute_job.c	original line 52	1	"[""1673""]"	"[""PRRT_kwDOR3YK5M6bF0Bc""]"	"[""preserve the shader s x only invocation domain""]"	warning-clean-driver-build-and-focused-test	changed-since-review
9	review-one-change-commit-60ae71b6e75360b9cc12dd4b524381da9da7feb4-959dd8f15fa9	work-r300-cpu-compute-job-c-original-line-81-940bc1d9c460	2026-08-21T08:31:33Z	src/amd/r300/cpu/r300_cpu_compute_job.c	original line 81	1	"[""1673""]"	"[""PRRT_kwDOR3YK5M6bF0Bw""]"	"[""permit identical input and output descriptor ranges""]"	warning-clean-driver-build-and-focused-test	changed-since-review
9	review-one-change-commit-60ae71b6e75360b9cc12dd4b524381da9da7feb4-959dd8f15fa9	work-r300-numeric-domain-c-const-struct-r300-virtual-op-info-1d6e693ef6e2	2026-08-23T21:06:42Z	src/amd/r300/common/r300_numeric_domain.c	const struct r300 virtual op info r300 virtual op catalog	1	"[""1732""]"	"[""PRRT_kwDOR3YK5M6biIrb""]"	"[""keep and and or pending until their silicon probes are recorded""]"	warning-clean-driver-build-and-focused-test	changed-since-review
10	review-one-change-commit-367a218ff2b765194bd18d30ab84c41078341404-5d1a49c73ff1	work-r300-common-boundary-known-bad-object-c-original-line-8-bea2dbe3e603	2026-08-22T07:02:40Z	src/amd/r300/common/tests/fixtures/r300_common_boundary_known_bad_object.c	original line 8	1	"[""1681""]"	"[""PRRT_kwDOR3YK5M6bXPWo""]"	"[""declare the known bad fixture entry point""]"	warning-clean-driver-build-and-focused-test	changed-since-review
11	review-one-change-commit-41d774592cb536a8f74e5247c9a9a855725b397e-36e2eb5e61c9	work-r300-vertex-job-nir-c-r300-vertex-job-spirv-to-4357e0030c4e	2026-08-22T21:13:54Z	src/amd/r300/compiler/r300_vertex_job_nir.c	r300 vertex job spirv to nir const uint32 t words size t word count	1	"[""1692""]"	"[""PRRT_kwDOR3YK5M6bbWV0""]"	"[""add the required discovery method to the code claim""]"	warning-clean-driver-build-and-focused-test	changed-since-review
12	review-one-change-commit-79f1a5a2c02c6e6f3b6784b3fe89dd24a230175e-10f159c9596a	work-r300-r2vb-typed-route-oracle-test-c-original-line-15-69cedd691702	2026-08-22T21:28:19Z	src/gallium/drivers/r300/tests/r300_r2vb_typed_route_oracle_test.c	original line 15	1	"[""1693""]"	"[""PRRT_kwDOR3YK5M6bbawY""]"	"[""replace test history with the representation invariant""]"	warning-clean-driver-build-and-focused-test	changed-since-review
12	review-one-change-commit-79f1a5a2c02c6e6f3b6784b3fe89dd24a230175e-10f159c9596a	work-r300-r2vb-typed-route-oracle-test-c-original-line-25-98904491ae8e	2026-08-22T21:28:19Z	src/gallium/drivers/r300/tests/r300_r2vb_typed_route_oracle_test.c	original line 25	1	"[""1693""]"	"[""PRRT_kwDOR3YK5M6bbawb""]"	"[""add discovery methods for the adapter equivalence claims""]"	warning-clean-driver-build-and-focused-test	changed-since-review
13	review-one-change-commit-8077376b79a29299a39b37c6178b7a064a9abf29-99eda97ff92f	work-meson-options-option-cf4f4737a530	2026-08-22T22:00:13Z	meson.options	option	1	"[""1698""]"	"[""PRRT_kwDOR3YK5M6bblRq""]"	"[""enable the surviving backend in every ati r300 build""]"	repository-native-focused-check	changed-since-review
13	review-one-change-commit-8077376b79a29299a39b37c6178b7a064a9abf29-99eda97ff92f	work-3-r300-full-debug-optimized-x86-64v1-clang22-distcc-cache-e11f7468afe9	2026-08-22T22:00:14Z	build-infra/configs/3_r300_full_debug_optimized_x86_64v1-clang22-distcc-cache.meson	platforms x11 wayland	1	"[""1698""]"	"[""PRRT_kwDOR3YK5M6bblRw""]"	"[""stop routing zink to the minimal native icd""]"	configure-build-and-artifact-check	changed-since-review
14	review-one-change-commit-0f807535cfda5bf35b33bd8869a80d5480b566e4-30a02baa2ff9	work-r300-retained-route-digests-h-original-line-21-1cc15cd19e5e	2026-08-22T22:55:48Z	src/amd/r300/common/tests/r300_retained_route_digests.h	original line 21	1	"[""1706""]"	"[""PRRT_kwDOR3YK5M6bb1Y1""]"	"[""make the shared cpu digest the sole authority""]"	warning-clean-driver-build-and-focused-test	changed-since-review
15	review-one-change-commit-c9bd4e6bc836fe7d172176dd0c977779537d14d5-6ad598768f88	work-r300-vertex-stream-h-struct-r300-vertex-stream-7a2a30d0e690	2026-08-22T23:16:46Z	src/amd/r300/common/r300_vertex_stream.h	struct r300 vertex stream	1	"[""1708""]"	"[""PRRT_kwDOR3YK5M6bb7Gt""]"	"[""bind the shared robust record contract to primary rules""]"	warning-clean-driver-build-and-focused-test	changed-since-review
16	review-one-change-commit-01cce6697e2122401327f7dbc7d873adb7b0a897-834193575828	work-r3v-native-fetched-gpu-producer-arming-runner-check-py-original-5cbe87912df9	2026-08-23T01:37:46Z	src/amd/r300/vulkan/tests/r3v_native_fetched_gpu_producer_arming_runner_check.py	original line 124	1	"[""1711""]"	"[""PRRT_kwDOR3YK5M6bcfKQ""]"	"[""exercise the armed path before refusal mutations""]"	python-test-black-and-ruff	changed-since-review
17	review-one-change-commit-ac11072b3279364cb257784f8129c9aa4fa3df39-7ec9d92064ca	work-r300-compute-identity-carrier-c-original-line-57-dbbde9690099	2026-08-23T10:26:39Z	src/amd/r300/common/r300_compute_identity_carrier.c	original line 57	1	"[""1726""]"	"[""PRRT_kwDOR3YK5M6bepfT""]"	"[""reject output offsets beyond the carrier bo""]"	warning-clean-driver-build-and-focused-test	changed-since-review
18	review-one-change-commit-8e1387b5c97e329dd7b12f9937d691611c40f63e-eaf3e3c301f1	work-r3v-native-attended-compute-identity-c-original-line-509-453dca74e074	2026-08-23T10:34:58Z	src/amd/r300/vulkan/tests/r3v_native_attended_compute_identity.c	original line 509	1	"[""1728""]"	"[""PRRT_kwDOR3YK5M6ber34""]"	"[""mark readback unavailable after a failed completion wait""]"	warning-clean-driver-build-and-focused-test	changed-since-review
