thread_id	disposition	evidence_commit	evidence_pr	merged_at	github_resolved_at	post_resolution_verified_at	closure_note
PRRT_kwDOR3YK5M6Tw9uC	superseded	a2bfd6032c81faa75994dfd4f57b279200a0776f	1916	2026-08-27T09:58:33Z	2026-08-27T10:00:19Z	2026-08-27T10:00:19Z	merge-subject-suffix-policy-retirement
PRRT_kwDOR3YK5M6Tw9uE	superseded	a2bfd6032c81faa75994dfd4f57b279200a0776f	1916	2026-08-27T09:58:33Z	2026-08-27T10:00:21Z	2026-08-27T10:00:22Z	merge-subject-actor-policy-retirement
PRRT_kwDOR3YK5M6Tw9uF	fixed	a2bfd6032c81faa75994dfd4f57b279200a0776f	1916	2026-08-27T09:58:33Z	2026-08-27T10:00:23Z	2026-08-27T10:00:23Z	agents-commit-subject-prefix
PRRT_kwDOR3YK5M6TxVhn	fixed	a658cfdaed0260b20491c89e7e5710ced3ca1fb4	1923	2026-08-27T15:54:47Z	2026-08-27T15:57:58Z	2026-08-27T15:57:58Z	amd-vulkan-driver-scope-description
PRRT_kwDOR3YK5M6TxcMU	fixed	20286a21d04942790561bc931ea332eb59b6214b	1922	2026-08-27T15:43:02Z	2026-08-27T15:45:02Z	2026-08-27T15:45:02Z	headless-gl-target-render-node-identity
PRRT_kwDOR3YK5M6TxcMY	fixed	20286a21d04942790561bc931ea332eb59b6214b	1922	2026-08-27T15:43:02Z	2026-08-27T15:45:03Z	2026-08-27T15:45:04Z	headless-xorg-config-ownership
PRRT_kwDOR3YK5M6TxcMa	fixed	20286a21d04942790561bc931ea332eb59b6214b	1922	2026-08-27T15:43:02Z	2026-08-27T15:45:04Z	2026-08-27T15:45:05Z	headless-piglit-privilege-separation
PRRT_kwDOR3YK5M6TxcMe	fixed	20286a21d04942790561bc931ea332eb59b6214b	1922	2026-08-27T15:43:02Z	2026-08-27T15:45:05Z	2026-08-27T15:45:06Z	headless-display-manager-session-survival
PRRT_kwDOR3YK5M6TxcMh	fixed	20286a21d04942790561bc931ea332eb59b6214b	1922	2026-08-27T15:43:02Z	2026-08-27T15:45:07Z	2026-08-27T15:45:07Z	headless-xorg-pid-scoped-teardown
PRRT_kwDOR3YK5M6TxcMj	superseded	a2bfd6032c81faa75994dfd4f57b279200a0776f	1916	2026-08-27T09:58:33Z	2026-08-27T10:00:25Z	2026-08-27T10:00:25Z	project-prose-emoji-scope-policy
PRRT_kwDOR3YK5M6TxcMn	fixed	20286a21d04942790561bc931ea332eb59b6214b	1922	2026-08-27T15:43:02Z	2026-08-27T15:45:08Z	2026-08-27T15:45:08Z	headless-window-system-test-routing
PRRT_kwDOR3YK5M6TxcMq	fixed	20286a21d04942790561bc931ea332eb59b6214b	1922	2026-08-27T15:43:02Z	2026-08-27T15:45:09Z	2026-08-27T15:45:09Z	headless-render-node-permission-preflight
PRRT_kwDOR3YK5M6TxcMt	fixed	20286a21d04942790561bc931ea332eb59b6214b	1922	2026-08-27T15:43:02Z	2026-08-27T15:45:10Z	2026-08-27T15:45:11Z	headless-driswras-client-provider-evidence
PRRT_kwDOR3YK5M6Ty_L1	fixed	4ef62b7e547e76ef64806f2b0d8fc07edb98fe9d	1902	2026-08-27T03:25:38Z	2026-08-27T15:57:59Z	2026-08-27T15:57:59Z	driver-root-predicate-binding
PRRT_kwDOR3YK5M6Ty_L2	fixed	4ef62b7e547e76ef64806f2b0d8fc07edb98fe9d	1902	2026-08-27T03:25:38Z	2026-08-27T15:58:00Z	2026-08-27T15:58:00Z	driver-root-manifest-exact-output
PRRT_kwDOR3YK5M6Ty_L3	fixed	4ef62b7e547e76ef64806f2b0d8fc07edb98fe9d	1902	2026-08-27T03:25:38Z	2026-08-27T15:58:01Z	2026-08-27T15:58:01Z	driver-root-family-leaf-gates
PRRT_kwDOR3YK5M6TzUAO	fixed	3bc0603dc2dd0d00e13cfbef5554ba700aa78ac0	1903	2026-08-27T03:41:56Z	2026-08-27T15:58:02Z	2026-08-27T15:58:03Z	hbtcl-hang-signature-separation
PRRT_kwDOR3YK5M6TzUAP	fixed	3bc0603dc2dd0d00e13cfbef5554ba700aa78ac0	1903	2026-08-27T03:41:56Z	2026-08-27T15:58:03Z	2026-08-27T15:58:04Z	hbtcl-demand-evidence-citation
PRRT_kwDOR3YK5M6TzUAQ	fixed	a2bfd6032c81faa75994dfd4f57b279200a0776f	1916	2026-08-27T09:58:33Z	2026-08-27T10:00:27Z	2026-08-27T10:00:27Z	hbtcl-executable-sha-completion
PRRT_kwDOR3YK5M6T0Eow	fixed	9025fe619e85f28f3ee0dd510abeeb27adfbbc70	1904	2026-08-27T03:51:13Z	2026-08-27T15:58:04Z	2026-08-27T15:58:05Z	vl-cavlc-validation-criterion-comment
PRRT_kwDOR3YK5M6T0Eoz	fixed	9025fe619e85f28f3ee0dd510abeeb27adfbbc70	1904	2026-08-27T03:51:13Z	2026-08-27T15:58:06Z	2026-08-27T15:58:06Z	vl-cavlc-local-bound-rationale
