"thread_id"	"thread_created_at"	"review_url"	"review_path"	"original_line"	"claim_heading"	"status_at_capture"	"falsifier"
"PRRT_kwDOR3YK5M6CWWKm"	"2026-05-15T12:00:15Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/28#discussion_r3248019629"	"src/amd/terascale/vulkan/terakan_draw.c"	"365"	"update attachment layer state inside each multiview draw"	"unassessed"	""
"PRRT_kwDOR3YK5M6ChBF4"	"2026-05-16T02:25:34Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/46#discussion_r3251852166"	"src/amd/terascale/vulkan/nir/terakan_nir_lower_abi.c"	"520"	"index dynamic robustness loads by vec4 row"	"unassessed"	""
"PRRT_kwDOR3YK5M6C_gYg"	"2026-05-18T22:44:41Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/99#discussion_r3262626421"	"src/amd/terascale/vulkan/terakan_dmabuf_carrier.c"	"90"	"the carrier policy reason string claims the non palm default is native noop legacy for every other terakan chip family but then lists only a subset missing at least chip hemlock chip barts chip turks chip caicos which are also recogn"	"unassessed"	""
"PRRT_kwDOR3YK5M6LaOsk"	"2026-06-22T22:06:09Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3455720534"	"src/gallium/auxiliary/vl/tests/vl_h264_slice_parser_test.c"	"87"	"trim the next annex b start code from the fixture"	"unassessed"	""
"PRRT_kwDOR3YK5M6LaOsq"	"2026-06-22T22:06:09Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3455720541"	"src/gallium/auxiliary/vl/vl_h264_slice_parser.c"	"201"	"use the va supplied active reference count"	"unassessed"	""
"PRRT_kwDOR3YK5M6L_w9G"	"2026-06-24T18:15:13Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3469309017"	"src/gallium/auxiliary/vl/vl_h264_cavlc_tables.h"	"7"	"keep cavlc table generation inside mesa"	"unassessed"	""
"PRRT_kwDOR3YK5M6L_w9U"	"2026-06-24T18:15:13Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3469309034"	"src/gallium/auxiliary/vl/vl_h264_mb_decode.c"	"212"	"copy slice deblock controls into each contract"	"unassessed"	""
"PRRT_kwDOR3YK5M6L_w9Y"	"2026-06-24T18:15:13Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3469309038"	"src/gallium/auxiliary/vl/vl_h264_mb_decode.c"	"212"	"mark native intra macroblocks with unused references"	"unassessed"	""
"PRRT_kwDOR3YK5M6L_w9c"	"2026-06-24T18:15:13Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/786#discussion_r3469309043"	"src/gallium/auxiliary/vl/vl_h264_slice_parser.c"	"187"	"reject field coded slices before raster decoding"	"unassessed"	""
"PRRT_kwDOR3YK5M6X3byR"	"2026-08-10T12:26:10Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1305#discussion_r3749439672"	"src/amd/terascale/vulkan/tests/terakan_softfp64_lifetime_contract_test.py"	"58"	"verify that wsi failures reach fail device"	"unassessed"	""
